SNOMED_CT_ID	HPO_ID	HPO_NAME
SNOMEDCT:24976005	HP:0000139	Uterine prolapse
SNOMEDCT:65619001	HP:0000143	Rectovaginal fistula
SNOMEDCT:17276009	HP:0000144	Decreased fertility
SNOMEDCT:69878008	HP:0000147	Polycystic ovaries
SNOMEDCT:87380008	HP:0000148	Vaginal atresia
SNOMEDCT:716594002	HP:0000149	Ovarian gonadoblastoma
SNOMEDCT:74751003	HP:0000150	Gonadoblastoma
SNOMEDCT:248942000	HP:0000151	Aplasia of the uterus
SNOMEDCT:128334002	HP:0000153	Abnormality of the mouth
SNOMEDCT:40159009	HP:0000154	Wide mouth
SNOMEDCT:26284000	HP:0000155	Oral ulcer
SNOMEDCT:25273001	HP:0000158	Macroglossia
SNOMEDCT:14582003	HP:0000160	Narrow mouth
SNOMEDCT:3639002	HP:0000162	Glossoptosis
SNOMEDCT:422775003	HP:0000164	Abnormality of the dentition
SNOMEDCT:109620006	HP:0000169	Gingival fibromatosis
SNOMEDCT:58569000	HP:0000169	Gingival fibromatosis
SNOMEDCT:249380003	HP:0000171	Microglossia
SNOMEDCT:32614006	HP:0000171	Microglossia
SNOMEDCT:63567004	HP:0000175	Cleft palate
SNOMEDCT:87979003	HP:0000175	Cleft palate
SNOMEDCT:43437003	HP:0000176	Submucous cleft hard palate
SNOMEDCT:253752000	HP:0000180	Lobulated tongue
SNOMEDCT:253997002	HP:0000185	Cleft soft palate
SNOMEDCT:18910001	HP:0000193	Bifid uvula
SNOMEDCT:262016004	HP:0000194	Open mouth
SNOMEDCT:249388005	HP:0000200	Short lingual frenulum
SNOMEDCT:4602007	HP:0000201	Pierre-Robin sequence
SNOMEDCT:253983005	HP:0000202	Orofacial cleft
SNOMEDCT:66948001	HP:0000202	Orofacial cleft
SNOMEDCT:80281008	HP:0000204	Cleft upper lip
SNOMEDCT:45534005	HP:0000206	Glossitis
SNOMEDCT:87866006	HP:0000211	Trismus
SNOMEDCT:441787004	HP:0000212	Gingival overgrowth
SNOMEDCT:441798003	HP:0000212	Gingival overgrowth
SNOMEDCT:54711002	HP:0000212	Gingival overgrowth
SNOMEDCT:300268000	HP:0000217	Xerostomia
SNOMEDCT:56893005	HP:0000217	Xerostomia
SNOMEDCT:87715008	HP:0000217	Xerostomia
SNOMEDCT:27272007	HP:0000218	High palate
SNOMEDCT:229727006	HP:0000220	Velopharyngeal insufficiency
SNOMEDCT:232416001	HP:0000220	Velopharyngeal insufficiency
SNOMEDCT:278714002	HP:0000220	Velopharyngeal insufficiency
SNOMEDCT:52368004	HP:0000221	Furrowed tongue
SNOMEDCT:697990000	HP:0000224	Hypogeusia
SNOMEDCT:86276007	HP:0000225	Gingival bleeding
SNOMEDCT:66383009	HP:0000230	Gingivitis
SNOMEDCT:301348000	HP:0000233	Thin vermilion border
SNOMEDCT:230745008	HP:0000238	Hydrocephalus
SNOMEDCT:276709006	HP:0000239	Large fontanelles
SNOMEDCT:28740008	HP:0000243	Trigonocephaly
SNOMEDCT:36971009	HP:0000246	Sinusitis
SNOMEDCT:7393007	HP:0000246	Sinusitis
SNOMEDCT:13649004	HP:0000248	Brachycephaly
SNOMEDCT:271611007	HP:0000252	Microcephaly
SNOMEDCT:15805002	HP:0000255	Acute sinusitis
SNOMEDCT:48069004	HP:0000262	Turricephaly
SNOMEDCT:52404001	HP:0000265	Mastoiditis
SNOMEDCT:72239002	HP:0000268	Dolichocephaly
SNOMEDCT:82779003	HP:0000270	Delayed cranial suture closure
SNOMEDCT:118930001	HP:0000271	Abnormality of the face
SNOMEDCT:32003007	HP:0000271	Abnormality of the face
SNOMEDCT:398206004	HP:0000271	Abnormality of the face
SNOMEDCT:398302004	HP:0000271	Abnormality of the face
SNOMEDCT:37126005	HP:0000273	Facial grimacing
SNOMEDCT:445088006	HP:0000282	Facial edema
SNOMEDCT:103606006	HP:0000298	Mask-like facies
SNOMEDCT:109504005	HP:0000303	Mandibular prognathia
SNOMEDCT:22810007	HP:0000303	Mandibular prognathia
SNOMEDCT:194021007	HP:0000316	Hypertelorism
SNOMEDCT:22006008	HP:0000316	Hypertelorism
SNOMEDCT:1070000	HP:0000317	Facial myokymia
SNOMEDCT:15253005	HP:0000324	Facial asymmetry
SNOMEDCT:699439001	HP:0000331	Short chin
SNOMEDCT:248149005	HP:0000338	Hypomimic face
SNOMEDCT:32958008	HP:0000347	Micrognathia
SNOMEDCT:275259005	HP:0000356	Abnormality of the outer ear
SNOMEDCT:253251006	HP:0000358	Posteriorly rotated ears
SNOMEDCT:162349004	HP:0000360	Tinnitus
SNOMEDCT:162352007	HP:0000360	Tinnitus
SNOMEDCT:60862001	HP:0000360	Tinnitus
SNOMEDCT:11543004	HP:0000362	Otosclerosis
SNOMEDCT:103276001	HP:0000365	Hearing impairment
SNOMEDCT:15188001	HP:0000365	Hearing impairment
SNOMEDCT:343087000	HP:0000365	Hearing impairment
SNOMEDCT:95828007	HP:0000365	Hearing impairment
SNOMEDCT:128274005	HP:0000366	Abnormality of the nose
SNOMEDCT:72089000	HP:0000366	Abnormality of the nose
SNOMEDCT:95515009	HP:0000369	Low-set ears
SNOMEDCT:3110003	HP:0000371	Acute otitis media
SNOMEDCT:253255002	HP:0000377	Abnormal pinna morphology
SNOMEDCT:65363002	HP:0000388	Otitis media
SNOMEDCT:21186006	HP:0000389	Chronic otitis media
SNOMEDCT:76223006	HP:0000394	Lop ear
SNOMEDCT:275480001	HP:0000400	Macrotia
SNOMEDCT:69056000	HP:0000400	Macrotia
SNOMEDCT:300127002	HP:0000402	Stenosis of the external auditory canal
SNOMEDCT:301061006	HP:0000402	Stenosis of the external auditory canal
SNOMEDCT:44057004	HP:0000405	Conductive hearing impairment
SNOMEDCT:60700002	HP:0000407	Sensorineural hearing impairment
SNOMEDCT:77507001	HP:0000410	Mixed hearing impairment
SNOMEDCT:275478007	HP:0000411	Protruding ear
SNOMEDCT:95433000	HP:0000419	Abnormal nasal septum morphology
SNOMEDCT:12441001	HP:0000421	Epistaxis
SNOMEDCT:249366005	HP:0000421	Epistaxis
SNOMEDCT:249321001	HP:0000431	Wide nasal bridge
SNOMEDCT:249321001	HP:0000445	Wide nose
SNOMEDCT:249311009	HP:0000448	Prominent nose
SNOMEDCT:306963008	HP:0000452	Choanal stenosis
SNOMEDCT:204508009	HP:0000453	Choanal atresia
SNOMEDCT:21558008	HP:0000454	Flared nostrils
SNOMEDCT:248568003	HP:0000454	Flared nostrils
SNOMEDCT:249327002	HP:0000455	Broad nasal tip
SNOMEDCT:249326006	HP:0000456	Bifid nasal tip
SNOMEDCT:44169009	HP:0000458	Anosmia
SNOMEDCT:249322008	HP:0000460	Narrow nose
SNOMEDCT:708670007	HP:0000463	Anteverted nares
SNOMEDCT:298390003	HP:0000464	Abnormality of the neck
SNOMEDCT:40052002	HP:0000464	Abnormality of the neck
SNOMEDCT:11731003	HP:0000465	Webbed neck
SNOMEDCT:95427009	HP:0000470	Short neck
SNOMEDCT:270476009	HP:0000473	Torticollis
SNOMEDCT:70070008	HP:0000473	Torticollis
SNOMEDCT:74333002	HP:0000473	Torticollis
SNOMEDCT:399882002	HP:0000476	Cystic hygroma
SNOMEDCT:40225001	HP:0000476	Cystic hygroma
SNOMEDCT:423984004	HP:0000476	Cystic hygroma
SNOMEDCT:19416009	HP:0000478	Abnormality of the eye
SNOMEDCT:371405004	HP:0000478	Abnormality of the eye
SNOMEDCT:371409005	HP:0000478	Abnormality of the eye
SNOMEDCT:29555009	HP:0000479	Abnormal retinal morphology
SNOMEDCT:26098002	HP:0000482	Microcornea
SNOMEDCT:82649003	HP:0000483	Astigmatism
SNOMEDCT:449734001	HP:0000484	Hyperopic astigmatism
SNOMEDCT:204118005	HP:0000485	Megalocornea
SNOMEDCT:268158009	HP:0000485	Megalocornea
SNOMEDCT:128602000	HP:0000486	Strabismus
SNOMEDCT:22066006	HP:0000486	Strabismus
SNOMEDCT:29555009	HP:0000488	Retinopathy
SNOMEDCT:246923005	HP:0000490	Deeply set eye
SNOMEDCT:80093006	HP:0000490	Deeply set eye
SNOMEDCT:5888003	HP:0000491	Keratitis
SNOMEDCT:246800008	HP:0000494	Downslanted palpebral fissures
SNOMEDCT:2055003	HP:0000495	Recurrent corneal erosions
SNOMEDCT:91514001	HP:0000495	Recurrent corneal erosions
SNOMEDCT:103252009	HP:0000496	Abnormality of eye movement
SNOMEDCT:231796003	HP:0000498	Blepharitis
SNOMEDCT:41446000	HP:0000498	Blepharitis
SNOMEDCT:23986001	HP:0000501	Glaucoma
SNOMEDCT:246635007	HP:0000505	Visual impairment
SNOMEDCT:397540003	HP:0000505	Visual impairment
SNOMEDCT:7973008	HP:0000505	Visual impairment
SNOMEDCT:246803005	HP:0000506	Telecanthus
SNOMEDCT:11934000	HP:0000508	Ptosis
SNOMEDCT:9826008	HP:0000509	Conjunctivitis
SNOMEDCT:28835009	HP:0000510	Rod-cone dystrophy
SNOMEDCT:246773002	HP:0000511	Vertical supranuclear gaze palsy
SNOMEDCT:274524001	HP:0000512	Abnormal electroretinogram
SNOMEDCT:404686001	HP:0000514	Slow saccadic eye movements
SNOMEDCT:10810001	HP:0000517	Abnormal lens morphology
SNOMEDCT:128306009	HP:0000518	Cataract
SNOMEDCT:193570009	HP:0000518	Cataract
SNOMEDCT:247053007	HP:0000518	Cataract
SNOMEDCT:609587005	HP:0000519	Developmental cataract
SNOMEDCT:79410001	HP:0000519	Developmental cataract
SNOMEDCT:18265008	HP:0000520	Proptosis
SNOMEDCT:253215004	HP:0000522	Alacrima
SNOMEDCT:95723009	HP:0000523	Subcapsular cataract
SNOMEDCT:231870008	HP:0000524	Conjunctival telangiectasia
SNOMEDCT:69278003	HP:0000526	Aniridia
SNOMEDCT:204099004	HP:0000528	Anophthalmia
SNOMEDCT:7183006	HP:0000528	Anophthalmia
SNOMEDCT:95686007	HP:0000533	Chorioretinal atrophy
SNOMEDCT:400956000	HP:0000537	Epicanthus inversus
SNOMEDCT:57138009	HP:0000538	Pseudopapilledema
SNOMEDCT:38101003	HP:0000540	Hypermetropia
SNOMEDCT:42059000	HP:0000541	Retinal detachment
SNOMEDCT:302200001	HP:0000543	Optic disc pallor
SNOMEDCT:19373007	HP:0000544	External ophthalmoplegia
SNOMEDCT:46252003	HP:0000544	External ophthalmoplegia
SNOMEDCT:57190000	HP:0000545	Myopia
SNOMEDCT:95695004	HP:0000546	Retinal degeneration
SNOMEDCT:23289000	HP:0000551	Color vision defect
SNOMEDCT:367469000	HP:0000551	Color vision defect
SNOMEDCT:51886007	HP:0000552	Tritanomaly
SNOMEDCT:85049009	HP:0000552	Tritanomaly
SNOMEDCT:128473001	HP:0000554	Uveitis
SNOMEDCT:1361009	HP:0000555	Leukocoria
SNOMEDCT:314407005	HP:0000556	Retinal dystrophy
SNOMEDCT:47507006	HP:0000558	Rieger anomaly
SNOMEDCT:95726001	HP:0000559	Corneal scarring
SNOMEDCT:65636009	HP:0000563	Keratoconus
SNOMEDCT:278530008	HP:0000564	Lacrimal duct atresia
SNOMEDCT:16596007	HP:0000565	Esotropia
SNOMEDCT:39302008	HP:0000567	Chorioretinal coloboma
SNOMEDCT:204108000	HP:0000568	Microphthalmia
SNOMEDCT:61142002	HP:0000568	Microphthalmia
SNOMEDCT:246768008	HP:0000571	Hypometric saccades
SNOMEDCT:7973008	HP:0000572	Visual loss
SNOMEDCT:28998008	HP:0000573	Retinal hemorrhage
SNOMEDCT:23388006	HP:0000575	Scotoma
SNOMEDCT:81016008	HP:0000575	Scotoma
SNOMEDCT:33014001	HP:0000576	Centrocecal scotoma
SNOMEDCT:399054005	HP:0000577	Exotropia
SNOMEDCT:399252000	HP:0000577	Exotropia
SNOMEDCT:231841004	HP:0000579	Nasolacrimal duct obstruction
SNOMEDCT:246865000	HP:0000579	Nasolacrimal duct obstruction
SNOMEDCT:314022009	HP:0000579	Nasolacrimal duct obstruction
SNOMEDCT:416920000	HP:0000579	Nasolacrimal duct obstruction
SNOMEDCT:28835009	HP:0000580	Pigmentary retinopathy
SNOMEDCT:246799009	HP:0000582	Upslanted palpebral fissure
SNOMEDCT:35055000	HP:0000585	Band keratopathy
SNOMEDCT:17541006	HP:0000588	Optic disc coloboma
SNOMEDCT:44295002	HP:0000588	Optic disc coloboma
SNOMEDCT:92828000	HP:0000589	Coloboma
SNOMEDCT:93390002	HP:0000589	Coloboma
SNOMEDCT:46252003	HP:0000590	Progressive external ophthalmoplegia
SNOMEDCT:204164000	HP:0000592	Blue sclerae
SNOMEDCT:204142009	HP:0000593	Abnormal anterior chamber morphology
SNOMEDCT:246986004	HP:0000594	Shallow anterior chamber
SNOMEDCT:275259005	HP:0000598	Abnormality of the ear
SNOMEDCT:44593008	HP:0000601	Hypotelorism
SNOMEDCT:16110005	HP:0000602	Ophthalmoplegia
SNOMEDCT:38950008	HP:0000603	Central scotoma
SNOMEDCT:420675003	HP:0000605	Supranuclear gaze palsy
SNOMEDCT:422338006	HP:0000608	Macular degeneration
SNOMEDCT:95499004	HP:0000609	Optic nerve hypoplasia
SNOMEDCT:246622003	HP:0000613	Photophobia
SNOMEDCT:409668002	HP:0000613	Photophobia
SNOMEDCT:274093008	HP:0000615	Abnormal pupil morphology
SNOMEDCT:63251006	HP:0000616	Miosis
SNOMEDCT:65956007	HP:0000618	Blindness
SNOMEDCT:194131002	HP:0000619	Impaired convergence
SNOMEDCT:85777005	HP:0000620	Dacryocystitis
SNOMEDCT:33168009	HP:0000621	Entropion
SNOMEDCT:111516008	HP:0000622	Blurred vision
SNOMEDCT:246636008	HP:0000622	Blurred vision
SNOMEDCT:95202004	HP:0000625	Eyelid coloboma
SNOMEDCT:253228006	HP:0000627	Posterior embryotoxon
SNOMEDCT:392437005	HP:0000627	Posterior embryotoxon
SNOMEDCT:247123003	HP:0000631	Retinal arterial tortuosity
SNOMEDCT:301952009	HP:0000635	Blue irides
SNOMEDCT:563001	HP:0000639	Nystagmus
SNOMEDCT:29356006	HP:0000640	Gaze-evoked nystagmus
SNOMEDCT:246674000	HP:0000642	Red-green dyschromatopsia
SNOMEDCT:77479002	HP:0000642	Red-green dyschromatopsia
SNOMEDCT:59026006	HP:0000643	Blepharospasm
SNOMEDCT:387742006	HP:0000646	Amblyopia
SNOMEDCT:76976005	HP:0000648	Optic atrophy
SNOMEDCT:102968003	HP:0000649	Abnormality of visual evoked potentials
SNOMEDCT:24982008	HP:0000651	Diplopia
SNOMEDCT:127559009	HP:0000656	Ectropion
SNOMEDCT:62909004	HP:0000656	Ectropion
SNOMEDCT:193662007	HP:0000657	Oculomotor apraxia
SNOMEDCT:423142006	HP:0000658	Eyelid apraxia
SNOMEDCT:204153003	HP:0000659	Peters anomaly
SNOMEDCT:95692001	HP:0000660	Lipemia retinalis
SNOMEDCT:65194006	HP:0000662	Nyctalopia
SNOMEDCT:253207002	HP:0000664	Synophrys
SNOMEDCT:81756001	HP:0000666	Horizontal nystagmus
SNOMEDCT:4229009	HP:0000667	Phthisis bulbi
SNOMEDCT:64969001	HP:0000668	Hypodontia
SNOMEDCT:80967001	HP:0000670	Carious teeth
SNOMEDCT:16958000	HP:0000674	Anodontia
SNOMEDCT:26624006	HP:0000674	Anodontia
SNOMEDCT:12351004	HP:0000678	Dental crowding
SNOMEDCT:699222000	HP:0000678	Dental crowding
SNOMEDCT:51744007	HP:0000679	Taurodontia
SNOMEDCT:5639000	HP:0000684	Delayed eruption of teeth
SNOMEDCT:47944004	HP:0000689	Dental malocclusion
SNOMEDCT:707598004	HP:0000689	Dental malocclusion
SNOMEDCT:32337007	HP:0000691	Microdontia
SNOMEDCT:67504007	HP:0000694	Odontodysplasia
SNOMEDCT:21995002	HP:0000695	Natal tooth
SNOMEDCT:58748004	HP:0000695	Natal tooth
SNOMEDCT:29553002	HP:0000698	Conical tooth
SNOMEDCT:35591002	HP:0000699	Diastema
SNOMEDCT:81407003	HP:0000700	Periapical bone loss
SNOMEDCT:89988002	HP:0000700	Periapical bone loss
SNOMEDCT:196286005	HP:0000703	Dentinogenesis imperfecta
SNOMEDCT:18718003	HP:0000704	Periodontitis
SNOMEDCT:2556008	HP:0000704	Periodontitis
SNOMEDCT:41565005	HP:0000704	Periodontitis
SNOMEDCT:78494001	HP:0000705	Amelogenesis imperfecta
SNOMEDCT:109542004	HP:0000706	Eruption failure
SNOMEDCT:88425004	HP:0000707	Abnormality of the nervous system
SNOMEDCT:25786006	HP:0000708	Atypical behavior
SNOMEDCT:277843001	HP:0000708	Atypical behavior
SNOMEDCT:69322001	HP:0000709	Psychosis
SNOMEDCT:162221009	HP:0000711	Restlessness
SNOMEDCT:18963009	HP:0000712	Emotional lability
SNOMEDCT:24199005	HP:0000713	Agitation
SNOMEDCT:21061000119107	HP:0000716	Depression
SNOMEDCT:35489007	HP:0000716	Depression
SNOMEDCT:78667006	HP:0000716	Depression
SNOMEDCT:408856003	HP:0000717	Autism
SNOMEDCT:408857007	HP:0000717	Autism
SNOMEDCT:43614003	HP:0000717	Autism
SNOMEDCT:248004009	HP:0000718	Aggressive behavior
SNOMEDCT:61372001	HP:0000718	Aggressive behavior
SNOMEDCT:112082005	HP:0000719	Inappropriate behavior
SNOMEDCT:12479006	HP:0000722	Compulsive behaviors
SNOMEDCT:191736004	HP:0000722	Compulsive behaviors
SNOMEDCT:52448006	HP:0000726	Dementia
SNOMEDCT:278857002	HP:0000727	Frontal lobe dementia
SNOMEDCT:5507002	HP:0000733	Abnormal repetitive mannerisms
SNOMEDCT:84328007	HP:0000733	Abnormal repetitive mannerisms
SNOMEDCT:247977003	HP:0000734	Disinhibition
SNOMEDCT:247762003	HP:0000736	Short attention span
SNOMEDCT:7011001	HP:0000738	Hallucinations
SNOMEDCT:48694002	HP:0000739	Anxiety
SNOMEDCT:20602000	HP:0000741	Apathy
SNOMEDCT:130968006	HP:0000742	Self-mutilation
SNOMEDCT:277521002	HP:0000745	Diminished motivation
SNOMEDCT:2073000	HP:0000746	Delusion
SNOMEDCT:247985007	HP:0000748	Inappropriate laughter
SNOMEDCT:162294008	HP:0000750	Delayed speech and language development
SNOMEDCT:229721007	HP:0000750	Delayed speech and language development
SNOMEDCT:29164008	HP:0000750	Delayed speech and language development
SNOMEDCT:62415009	HP:0000750	Delayed speech and language development
SNOMEDCT:102943000	HP:0000751	Personality changes
SNOMEDCT:192073007	HP:0000751	Personality changes
SNOMEDCT:44548000	HP:0000752	Hyperactivity
SNOMEDCT:247830007	HP:0000756	Agoraphobia
SNOMEDCT:70691001	HP:0000756	Agoraphobia
SNOMEDCT:24340004	HP:0000757	Lack of insight
SNOMEDCT:302226006	HP:0000759	Abnormal peripheral nervous system morphology
SNOMEDCT:42658009	HP:0000759	Abnormal peripheral nervous system morphology
SNOMEDCT:95662005	HP:0000763	Sensory neuropathy
SNOMEDCT:391987005	HP:0000767	Pectus excavatum
SNOMEDCT:205101001	HP:0000768	Pectus carinatum
SNOMEDCT:4754008	HP:0000771	Gynecomastia
SNOMEDCT:249696007	HP:0000773	Short ribs
SNOMEDCT:249671009	HP:0000774	Narrow chest
SNOMEDCT:17190001	HP:0000776	Congenital diaphragmatic hernia
SNOMEDCT:93297002	HP:0000777	Abnormal thymus morphology
SNOMEDCT:93297002	HP:0000778	Hypoplasia of the thymus
SNOMEDCT:8913004	HP:0000786	Primary amenorrhea
SNOMEDCT:15296000	HP:0000789	Infertility
SNOMEDCT:8619003	HP:0000789	Infertility
SNOMEDCT:34436003	HP:0000790	Hematuria
SNOMEDCT:53298000	HP:0000790	Hematuria
SNOMEDCT:267441009	HP:0000791	Uric acid nephrolithiasis
SNOMEDCT:80321008	HP:0000793	Membranoproliferative glomerulonephritis
SNOMEDCT:236407003	HP:0000794	IgA deposition in the glomerulus
SNOMEDCT:68779003	HP:0000794	IgA deposition in the glomerulus
SNOMEDCT:95588004	HP:0000796	Urethral obstruction
SNOMEDCT:397803000	HP:0000802	Impotence
SNOMEDCT:8009008	HP:0000805	Enuresis
SNOMEDCT:204891000	HP:0000807	Glandular hypospadias
SNOMEDCT:429631000124104	HP:0000807	Glandular hypospadias
SNOMEDCT:204889008	HP:0000808	Penoscrotal hypospadias
SNOMEDCT:31401003	HP:0000813	Bicornuate uterus
SNOMEDCT:370999003	HP:0000815	Hypergonadotropic hypogonadism
SNOMEDCT:412786000	HP:0000817	Reduced eye contact
SNOMEDCT:362969004	HP:0000818	Abnormality of the endocrine system
SNOMEDCT:73211009	HP:0000819	Diabetes mellitus
SNOMEDCT:14304000	HP:0000820	Abnormality of the thyroid gland
SNOMEDCT:40930008	HP:0000821	Hypothyroidism
SNOMEDCT:24184005	HP:0000822	Hypertension
SNOMEDCT:38341003	HP:0000822	Hypertension
SNOMEDCT:123526007	HP:0000823	Delayed puberty
SNOMEDCT:400003000	HP:0000823	Delayed puberty
SNOMEDCT:2109003	HP:0000824	Decreased response to growth hormone stimulation test
SNOMEDCT:123527003	HP:0000826	Precocious puberty
SNOMEDCT:400179000	HP:0000826	Precocious puberty
SNOMEDCT:73132005	HP:0000828	Abnormality of the parathyroid gland
SNOMEDCT:36976004	HP:0000829	Hypoparathyroidism
SNOMEDCT:111566002	HP:0000832	Primary hypothyroidism
SNOMEDCT:30171000	HP:0000834	Abnormality of the adrenal glands
SNOMEDCT:237774001	HP:0000835	Adrenal hypoplasia
SNOMEDCT:34486009	HP:0000836	Hyperthyroidism
SNOMEDCT:367460001	HP:0000839	Pituitary dwarfism
SNOMEDCT:7530009	HP:0000839	Pituitary dwarfism
SNOMEDCT:237751000	HP:0000840	Adrenogenital syndrome
SNOMEDCT:267395000	HP:0000840	Adrenogenital syndrome
SNOMEDCT:271077003	HP:0000840	Adrenogenital syndrome
SNOMEDCT:83469008	HP:0000842	Hyperinsulinemia
SNOMEDCT:66999008	HP:0000843	Hyperparathyroidism
SNOMEDCT:74107003	HP:0000845	Elevated circulating growth hormone concentration
SNOMEDCT:111563005	HP:0000846	Adrenal insufficiency
SNOMEDCT:237785004	HP:0000846	Adrenal insufficiency
SNOMEDCT:386584007	HP:0000846	Adrenal insufficiency
SNOMEDCT:190268003	HP:0000851	Congenital hypothyroidism
SNOMEDCT:217710005	HP:0000851	Congenital hypothyroidism
