ICD10	OMIM
ICD-10:H49.1	OMIM:136480
ICD-10:G93.2	OMIM:243200
ICD-10:G11.8	OMIM:109150
ICD-10:Q80.8	OMIM:609796
ICD-10:G71.0	OMIM:253280
ICD-10:G71.0	OMIM:613153
ICD-10:G71.0	OMIM:613154
ICD-10:G71.0	OMIM:613150
ICD-10:G71.0	OMIM:616538
ICD-10:G71.0	OMIM:614643
ICD-10:G71.0	OMIM:236670
ICD-10:G71.0	OMIM:615181
ICD-10:G71.0	OMIM:615287
ICD-10:G71.0	OMIM:614830
ICD-10:G71.0	OMIM:253800
ICD-10:G71.0	OMIM:615041
ICD-10:G71.0	OMIM:615249
ICD-10:D44.8	OMIM:155240
ICD-10:D44.8	OMIM:171400
ICD-10:D44.8	OMIM:162300
ICD-10:G11.4	OMIM:612335
ICD-10:G11.4	OMIM:611945
ICD-10:E83.2	OMIM:617595
ICD-10:Q87.8	OMIM:617303
ICD-10:E72.8	OMIM:609924
ICD-10:Q82.8	OMIM:181600
ICD-10:D44.8	OMIM:610755
ICD-10:Q82.0	OMIM:615907
ICD-10:D12.6	OMIM:175100
ICD-10:Q02	OMIM:616632
ICD-10:Q92.3	OMIM:616652
ICD-10:D61.0	OMIM:619151
ICD-10:Q87.8	OMIM:601214
ICD-10:G40.4	OMIM:615859
ICD-10:G72.3	OMIM:170400
ICD-10:G72.3	OMIM:613345
ICD-10:Q87.8	OMIM:150230
ICD-10:G47.3	OMIM:209880
ICD-10:G47.3	OMIM:619483
ICD-10:G47.3	OMIM:619482
ICD-10:Q87.8	OMIM:300243
ICD-10:M35.0	OMIM:270150
ICD-10:G11.2	OMIM:300623
ICD-10:H49.4	OMIM:157640
ICD-10:H49.4	OMIM:613077
ICD-10:H49.4	OMIM:609286
ICD-10:H49.4	OMIM:609283
ICD-10:H49.4	OMIM:610131
ICD-10:E88.8	OMIM:614651
ICD-10:Q87.8	OMIM:300472
ICD-10:Q78.8	OMIM:608154
ICD-10:E83.4	OMIM:602014
ICD-10:E75.0	OMIM:272750
ICD-10:E88.8	OMIM:614482
ICD-10:G60.0	OMIM:614436
ICD-10:E79.8	OMIM:614723
ICD-10:E88.8	OMIM:614559
ICD-10:M85.8	OMIM:614592
ICD-10:Q68.8	OMIM:114300
ICD-10:G71.1	OMIM:160900
ICD-10:Q73.8	OMIM:176240
ICD-10:Q87.8	OMIM:258320
ICD-10:Q78.8	OMIM:164745
ICD-10:Q78.8	OMIM:258315
ICD-10:H49.8	OMIM:530000
ICD-10:Q87.1	OMIM:127000
ICD-10:E74.2	OMIM:230350
ICD-10:Q87.8	OMIM:218450
ICD-10:Q87.2	OMIM:276820
ICD-10:Q87.8	OMIM:261575
ICD-10:Q79.6	OMIM:130000
ICD-10:Q79.6	OMIM:130010
ICD-10:Q87.2	OMIM:171480
ICD-10:Q87.1	OMIM:261560
ICD-10:Q87.8	OMIM:236500
ICD-10:Q77.8	OMIM:618728
ICD-10:Q93.3	OMIM:194190
ICD-10:E70.3	OMIM:609227
ICD-10:Q87.2	OMIM:102520
ICD-10:Q87.2	OMIM:201310
ICD-10:Q23.8	OMIM:314400
ICD-10:Q87.8	OMIM:615162
ICD-10:C41.9	OMIM:259500
ICD-10:G37.8	OMIM:610532
ICD-10:Q87.0	OMIM:612913
ICD-10:Q87.0	OMIM:258865
ICD-10:Q20.6	OMIM:208530
ICD-10:J84.8	OMIM:616414
ICD-10:G11.4	OMIM:616282
ICD-10:Q77.7	OMIM:616651
ICD-10:Q82.8	OMIM:123700
ICD-10:Q82.8	OMIM:616603
ICD-10:Q82.8	OMIM:614434
ICD-10:E71.0	OMIM:248600
ICD-10:E71.0	OMIM:615135
ICD-10:Q73.8	OMIM:113100
ICD-10:E83.3	OMIM:241500
ICD-10:E72.8	OMIM:236792
ICD-10:Q87.8	OMIM:201750
ICD-10:E72.1	OMIM:272300
ICD-10:C71.9	OMIM:137800
ICD-10:C71.9	OMIM:613029
ICD-10:Q77.3	OMIM:226900
ICD-10:C71.6	OMIM:155255
ICD-10:E71.1	OMIM:277410
ICD-10:E74.0	OMIM:232200
ICD-10:D39.1	OMIM:424500
ICD-10:G71.0	OMIM:611588
ICD-10:G71.0	OMIM:613158
ICD-10:E71.1	OMIM:610198
ICD-10:Q82.1	OMIM:278750
ICD-10:Q13.1	OMIM:106210
ICD-10:Q13.1	OMIM:617141
ICD-10:Q13.1	OMIM:617142
ICD-10:Q78.8	OMIM:616298
ICD-10:Q78.8	OMIM:182250
ICD-10:G60.0	OMIM:608340
ICD-10:Q68.1	OMIM:119900
ICD-10:K90.8	OMIM:214700
ICD-10:Q87.8	OMIM:169100
ICD-10:Q82.8	OMIM:124500
ICD-10:Q87.0	OMIM:613451
ICD-10:E23.0	OMIM:615577
ICD-10:E72.1	OMIM:250850
ICD-10:G90.8	OMIM:608800
ICD-10:E70.1	OMIM:261600
ICD-10:Q93.5	OMIM:601224
ICD-10:Q15.8	OMIM:609218
ICD-10:Q75.3	OMIM:615637
ICD-10:E66.8	OMIM:615703
ICD-10:G71.0	OMIM:618138
ICD-10:E34.3	OMIM:608747
ICD-10:Q04.8	OMIM:303350
ICD-10:Q04.8	OMIM:304100
ICD-10:Q04.8	OMIM:307000
ICD-10:Q87.8	OMIM:617101
ICD-10:D89.8	OMIM:613759
ICD-10:Q02	OMIM:614231
ICD-10:Q02	OMIM:619278
ICD-10:E75.5	OMIM:278000
ICD-10:Q87.8	OMIM:617982
ICD-10:Q87.8	OMIM:601794
ICD-10:E74.8	OMIM:260000
ICD-10:E74.8	OMIM:259900
ICD-10:E74.8	OMIM:613616
ICD-10:G11.4	OMIM:607259
ICD-10:Q93.5	OMIM:616580
ICD-10:Q82.8	OMIM:615225
ICD-10:G11.4	OMIM:619686
ICD-10:G11.4	OMIM:619735
ICD-10:E77.8	OMIM:608104
ICD-10:G12.2	OMIM:300489
ICD-10:G12.2	OMIM:605726
ICD-10:C49.9	OMIM:607907
ICD-10:P78.3	OMIM:610370
ICD-10:I42.8	OMIM:107970
ICD-10:I42.8	OMIM:610193
ICD-10:D48.7	OMIM:606690
ICD-10:Q77.7	OMIM:613343
ICD-10:E03.1	OMIM:225250
ICD-10:E03.1	OMIM:218700
ICD-10:G71.0	OMIM:158810
ICD-10:G71.0	OMIM:616471
ICD-10:E78.6	OMIM:136120
ICD-10:E78.6	OMIM:245900
ICD-10:G71.0	OMIM:616852
ICD-10:Q76.1	OMIM:616549
ICD-10:Q87.8	OMIM:610156
ICD-10:Q87.8	OMIM:216550
ICD-10:Q87.1	OMIM:135950
ICD-10:G71.3	OMIM:612073
ICD-10:B00.4+	OMIM:617900
ICD-10:G05.1*	OMIM:617900
ICD-10:B00.4+	OMIM:614849
ICD-10:G05.1*	OMIM:614849
ICD-10:B00.4+	OMIM:610551
ICD-10:G05.1*	OMIM:610551
ICD-10:B00.4+	OMIM:616532
ICD-10:G05.1*	OMIM:616532
ICD-10:B00.4+	OMIM:614850
ICD-10:G05.1*	OMIM:614850
ICD-10:B00.4+	OMIM:613002
ICD-10:G05.1*	OMIM:613002
ICD-10:G40.4	OMIM:609304
ICD-10:G40.4	OMIM:617105
ICD-10:G40.4	OMIM:616341
ICD-10:G40.3	OMIM:300672
ICD-10:G40.3	OMIM:619340
ICD-10:G40.3	OMIM:617350
ICD-10:G40.3	OMIM:613402
ICD-10:G40.3	OMIM:609304
ICD-10:G40.3	OMIM:617389
ICD-10:G40.3	OMIM:616341
ICD-10:G40.3	OMIM:612164
ICD-10:G40.3	OMIM:618548
ICD-10:G40.3	OMIM:617599
ICD-10:G40.3	OMIM:617493
ICD-10:G40.3	OMIM:617391
ICD-10:G40.3	OMIM:308350
ICD-10:G40.3	OMIM:617276
ICD-10:G40.3	OMIM:613721
ICD-10:Q77.8	OMIM:156510
ICD-10:L90.8	OMIM:201200
ICD-10:Q78.5	OMIM:250400
ICD-10:Q82.8	OMIM:156610
ICD-10:Q82.8	OMIM:616734
ICD-10:Q87.8	OMIM:300004
ICD-10:Q78.5	OMIM:250420
ICD-10:I45.8	OMIM:220400
ICD-10:I45.8	OMIM:612347
ICD-10:E76.2	OMIM:253200
ICD-10:I73.8	OMIM:613834
ICD-10:N97.8	OMIM:617712
ICD-10:N97.8	OMIM:618353
ICD-10:N97.8	OMIM:615774
ICD-10:Q87.8	OMIM:220500
ICD-10:I68.0*	OMIM:605714
ICD-10:E85.4+	OMIM:605714
ICD-10:D68.2	OMIM:607473
ICD-10:D68.2	OMIM:277450
ICD-10:E79.8	OMIM:258900
ICD-10:Q04.0	OMIM:200990
ICD-10:E83.2	OMIM:201100
ICD-10:D55.1	OMIM:266130
ICD-10:D55.1	OMIM:231900
ICD-10:Q82.8	OMIM:101850
ICD-10:E88.8	OMIM:203740
ICD-10:E71.1	OMIM:243500
ICD-10:E71.1	OMIM:606054
ICD-10:Q61.5	OMIM:615382
ICD-10:Q61.5	OMIM:256100
ICD-10:Q87.3	OMIM:267000
ICD-10:E74.8	OMIM:260800
ICD-10:Q68.8	OMIM:602484
ICD-10:M12.8	OMIM:208250
ICD-10:Q82.8	OMIM:169600
ICD-10:E72.2	OMIM:207800
ICD-10:G11.1	OMIM:277460
ICD-10:G11.1	OMIM:270550
ICD-10:G11.1	OMIM:601992
ICD-10:G11.1	OMIM:229300
ICD-10:E25.8	OMIM:613546
ICD-10:E77.1	OMIM:208400
ICD-10:G11.8	OMIM:108500
ICD-10:G71.0	OMIM:616094
ICD-10:E88.8	OMIM:614037
ICD-10:J98.4	OMIM:178610
ICD-10:G71.2	OMIM:310400
ICD-10:G11.4	OMIM:615030
ICD-10:Q73.8	OMIM:610713
ICD-10:E26.0	OMIM:613677
ICD-10:Q15.8	OMIM:611040
ICD-10:D84.8	OMIM:614889
ICD-10:Q99.1	OMIM:300833
ICD-10:Q99.1	OMIM:400045
ICD-10:Q99.1	OMIM:278850
ICD-10:Q87.8	OMIM:613926
ICD-10:Q87.8	OMIM:605309
ICD-10:Q51.8	OMIM:277000
ICD-10:Q78.8	OMIM:166700
ICD-10:G71.0	OMIM:608807
ICD-10:G40.4	OMIM:607745
ICD-10:G60.0	OMIM:618184
ICD-10:G60.0	OMIM:145900
ICD-10:Q87.8	OMIM:617763
ICD-10:D46.7	OMIM:617053
ICD-10:H47.2	OMIM:612989
ICD-10:E34.8	OMIM:246200
ICD-10:K76.8	OMIM:617049
ICD-10:G71.2	OMIM:255320
ICD-10:Q03.1	OMIM:220200
ICD-10:Q04.3	OMIM:605013
ICD-10:E72.1	OMIM:250940
ICD-10:E78.8	OMIM:236490
ICD-10:E78.8	OMIM:228600
ICD-10:Q87.8	OMIM:248760
ICD-10:Q82.8	OMIM:600962
ICD-10:E77.1	OMIM:256540
ICD-10:Q80.2	OMIM:242300
ICD-10:Q99.2	OMIM:309548
ICD-10:Q93.5	OMIM:611867
ICD-10:H18.5	OMIM:204870
ICD-10:Q73.8	OMIM:112500
ICD-10:Q73.8	OMIM:616849
ICD-10:Q73.8	OMIM:607004
ICD-10:Q73.8	OMIM:615072
ICD-10:C06.9	OMIM:275355
ICD-10:C08.8	OMIM:275355
ICD-10:C07	OMIM:275355
ICD-10:Q87.8	OMIM:107480
ICD-10:Q87.8	OMIM:617466
ICD-10:Q04.2	OMIM:609637
ICD-10:Q04.2	OMIM:610829
ICD-10:Q04.2	OMIM:301043
ICD-10:Q04.2	OMIM:157170
ICD-10:Q82.0	OMIM:613480
ICD-10:D15.0	OMIM:274230
ICD-10:D38.4	OMIM:274230
ICD-10:K00.5	OMIM:125420
ICD-10:D61.0	OMIM:260400
ICD-10:D61.0	OMIM:617941
ICD-10:Q87.2	OMIM:103285
ICD-10:D81.1	OMIM:615758
ICD-10:E72.0	OMIM:134600
ICD-10:E72.0	OMIM:618913
ICD-10:E72.0	OMIM:613388
ICD-10:E72.0	OMIM:615605
ICD-10:E75.2	OMIM:228000
ICD-10:Q82.4	OMIM:600268
ICD-10:Q87.8	OMIM:217980
ICD-10:Q74.8	OMIM:188740
ICD-10:D68.0	OMIM:613554
ICD-10:Q77.7	OMIM:223800
ICD-10:Q77.7	OMIM:304950
ICD-10:E74.4	OMIM:246900
ICD-10:Q10.3	OMIM:167730
ICD-10:Q68.8	OMIM:122580
ICD-10:E88.8	OMIM:151800
ICD-10:E88.2	OMIM:613001
ICD-10:D70	OMIM:246550
ICD-10:D70	OMIM:257100
ICD-10:D70	OMIM:202700
ICD-10:D70	OMIM:613107
ICD-10:D70	OMIM:619813
ICD-10:D70	OMIM:618752
ICD-10:E75.2	OMIM:603896
ICD-10:E88.8	OMIM:618328
ICD-10:Q87.3	OMIM:240900
ICD-10:Q43.1	OMIM:235730
ICD-10:G11.2	OMIM:606658
ICD-10:G11.8	OMIM:604432
ICD-10:Q03.8	OMIM:236600
ICD-10:Q03.1	OMIM:236600
ICD-10:I45.6	OMIM:108950
ICD-10:E70.3	OMIM:617050
ICD-10:E70.3	OMIM:608233
ICD-10:D80.8	OMIM:614102
ICD-10:Q87.8	OMIM:202660
ICD-10:G31.0	OMIM:172700
ICD-10:G31.0	OMIM:607485
ICD-10:G31.0	OMIM:600274
ICD-10:E78.3	OMIM:238600
ICD-10:E78.3	OMIM:144250
ICD-10:E80.1	OMIM:176090
ICD-10:E80.1	OMIM:176100
ICD-10:Q77.7	OMIM:604864
ICD-10:Q87.0	OMIM:300844
ICD-10:E70.3	OMIM:619947
ICD-10:E70.3	OMIM:606662
ICD-10:E70.3	OMIM:193510
ICD-10:E70.3	OMIM:608890
ICD-10:E70.3	OMIM:611584
ICD-10:E70.3	OMIM:600193
ICD-10:D61.0	OMIM:614900
ICD-10:D61.0	OMIM:618310
ICD-10:D61.0	OMIM:618313
ICD-10:D61.0	OMIM:618312
ICD-10:D61.0	OMIM:300946
ICD-10:D61.0	OMIM:612527
ICD-10:D61.0	OMIM:612528
ICD-10:D61.0	OMIM:606164
ICD-10:D61.0	OMIM:105650
ICD-10:D61.0	OMIM:612563
ICD-10:D61.0	OMIM:612561
ICD-10:D61.0	OMIM:612562
ICD-10:D61.0	OMIM:615550
ICD-10:D61.0	OMIM:617409
ICD-10:D61.0	OMIM:617408
ICD-10:D61.0	OMIM:615909
ICD-10:D61.0	OMIM:610629
ICD-10:D61.0	OMIM:606129
ICD-10:D61.0	OMIM:613309
ICD-10:D61.0	OMIM:613308
ICD-10:D61.0	OMIM:620072
ICD-10:Q67.4	OMIM:141350
ICD-10:B65.1	OMIM:181460
ICD-10:B65.3	OMIM:181460
ICD-10:B65.9	OMIM:181460
ICD-10:B65.8	OMIM:181460
ICD-10:B65.2	OMIM:181460
ICD-10:B65.0	OMIM:181460
ICD-10:Q75.8	OMIM:155050
ICD-10:Q78.5	OMIM:250215
ICD-10:Q87.8	OMIM:113400
ICD-10:H35.5	OMIM:153700
ICD-10:D81.8	OMIM:615207
ICD-10:Q87.8	OMIM:604314
ICD-10:G24.8	OMIM:608643
ICD-10:E71.1	OMIM:250950
ICD-10:E88.1	OMIM:608600
ICD-10:Q87.8	OMIM:156810
ICD-10:Q87.8	OMIM:156620
ICD-10:Q15.8	OMIM:156700
ICD-10:G11.8	OMIM:160120
ICD-10:D84.8	OMIM:613796
ICD-10:Q56.1	OMIM:228300
ICD-10:L94.8	OMIM:115250
ICD-10:D81.8	OMIM:300853
ICD-10:D81.8	OMIM:616873
ICD-10:D64.4	OMIM:300835
ICD-10:E75.2	OMIM:203450
ICD-10:Q87.4	OMIM:610168
ICD-10:Q87.4	OMIM:154700
ICD-10:E26.8	OMIM:241200
ICD-10:Q04.8	OMIM:618325
ICD-10:D84.8	OMIM:612852
ICD-10:Q78.2	OMIM:611497
ICD-10:G20	OMIM:614251
ICD-10:G20	OMIM:614203
ICD-10:G20	OMIM:605543
ICD-10:G20	OMIM:168601
ICD-10:G20	OMIM:607688
ICD-10:G20	OMIM:616361
ICD-10:G20	OMIM:607060
ICD-10:H18.5	OMIM:610048
ICD-10:D68.5	OMIM:613116
ICD-10:H35.5	OMIM:169150
ICD-10:H35.5	OMIM:610125
ICD-10:H35.5	OMIM:608970
ICD-10:Q87.0	OMIM:175700
ICD-10:Q78.5	OMIM:617137
ICD-10:Q78.5	OMIM:305620
ICD-10:Q75.8	OMIM:603671
ICD-10:Q87.5	OMIM:226960
ICD-10:Q74.8	OMIM:127800
ICD-10:Q87.8	OMIM:617425
ICD-10:E25.0	OMIM:201910
ICD-10:E25.0	OMIM:613571
ICD-10:E25.0	OMIM:201710
ICD-10:E25.0	OMIM:202010
ICD-10:E25.0	OMIM:201810
ICD-10:E25.0	OMIM:202110
ICD-10:N07.8	OMIM:611771
ICD-10:G11.8	OMIM:612656
ICD-10:E79.8	OMIM:619859
ICD-10:G71.0	OMIM:159050
ICD-10:G71.0	OMIM:300376
ICD-10:D55.1	OMIM:230450
ICD-10:Q82.8	OMIM:305600
ICD-10:Q87.8	OMIM:138790
ICD-10:Q78.8	OMIM:200700
ICD-10:Q78.8	OMIM:609441
ICD-10:Q87.8	OMIM:138770
ICD-10:Q87.5	OMIM:138930
ICD-10:Q87.0	OMIM:612289
ICD-10:Q82.8	OMIM:614714
ICD-10:Q82.8	OMIM:612293
ICD-10:Q82.8	OMIM:612353
ICD-10:Q82.8	OMIM:607728
ICD-10:Q82.8	OMIM:616063
ICD-10:Q82.8	OMIM:175900
ICD-10:Q82.8	OMIM:616631
ICD-10:G60.0	OMIM:604484
ICD-10:E74.4	OMIM:266150
ICD-10:J84.1	OMIM:247610
ICD-10:Q92.3	OMIM:611936
ICD-10:E74.0	OMIM:232500
ICD-10:Q87.8	OMIM:309500
ICD-10:E75.5	OMIM:275630
ICD-10:G31.8	OMIM:609161
ICD-10:E88.1	OMIM:616914
ICD-10:K83.0	OMIM:617394
ICD-10:D84.8	OMIM:616069
ICD-10:D84.8	OMIM:614328
ICD-10:Q92.3	OMIM:613681
ICD-10:E80.5	OMIM:218800
ICD-10:E75.4	OMIM:606693
ICD-10:E88.8	OMIM:614702
ICD-10:C73	OMIM:603386
ICD-10:C73	OMIM:188470
ICD-10:C73	OMIM:606240
ICD-10:C73	OMIM:616535
ICD-10:C73	OMIM:616534
ICD-10:C73	OMIM:603744
ICD-10:C73	OMIM:188550
ICD-10:C92.0	OMIM:601626
ICD-10:E77.8	OMIM:614921
ICD-10:H35.5	OMIM:608051
ICD-10:E16.1	OMIM:602485
ICD-10:Q82.4	OMIM:603543
ICD-10:Q77.7	OMIM:601668
ICD-10:Q77.7	OMIM:610442
ICD-10:Q99.2	OMIM:300624
ICD-10:Q38.6	OMIM:303400
ICD-10:G71.2	OMIM:602771
ICD-10:Q87.8	OMIM:104200
ICD-10:O01.0	OMIM:614293
ICD-10:O01.0	OMIM:231090
ICD-10:O01.0	OMIM:618432
ICD-10:O01.0	OMIM:618431
ICD-10:Q93.5	OMIM:182290
ICD-10:Q92.6	OMIM:609029
ICD-10:E70.3	OMIM:203200
ICD-10:F84.8	OMIM:309590
ICD-10:Q28.8	OMIM:606519
ICD-10:Q28.8	OMIM:140850
ICD-10:G71.1	OMIM:608390
ICD-10:E88.8	OMIM:614922
ICD-10:D89.8	OMIM:614878
ICD-10:G24.1	OMIM:128101
ICD-10:K76.8	OMIM:619868
ICD-10:K76.8	OMIM:620010
ICD-10:K76.8	OMIM:602347
ICD-10:K76.8	OMIM:601847
ICD-10:K76.8	OMIM:619484
ICD-10:K76.8	OMIM:211600
ICD-10:K76.8	OMIM:619849
ICD-10:K76.8	OMIM:619662
ICD-10:K76.8	OMIM:615878
ICD-10:Q92.3	OMIM:608363
ICD-10:C96.7	OMIM:616871
ICD-10:Q87.8	OMIM:616954
ICD-10:E71.1	OMIM:611283
ICD-10:Q87.1	OMIM:601321
ICD-10:Q87.8	OMIM:617061
ICD-10:M05.0	OMIM:134750
ICD-10:E07.1	OMIM:274600
ICD-10:G10	OMIM:300842
ICD-10:Q82.0	OMIM:607823
ICD-10:Q82.0	OMIM:137940
ICD-10:G71.0	OMIM:615350
ICD-10:D56.1	OMIM:613985
ICD-10:E23.2	OMIM:125700
ICD-10:E23.2	OMIM:304900
ICD-10:E83.4	OMIM:154020
ICD-10:G60.0	OMIM:617017
ICD-10:Q70.0	OMIM:608180
ICD-10:Q70.2	OMIM:608180
ICD-10:Q70.0	OMIM:186000
ICD-10:Q70.2	OMIM:186000
ICD-10:Q70.0	OMIM:610234
ICD-10:Q70.2	OMIM:610234
ICD-10:G71.0	OMIM:164300
ICD-10:Q87.1	OMIM:617506
ICD-10:Q87.1	OMIM:607721
ICD-10:N31.8	OMIM:236730
ICD-10:N31.8	OMIM:615112
ICD-10:Q87.0	OMIM:244450
ICD-10:Q87.8	OMIM:180900
ICD-10:E72.5	OMIM:239510
