hierarchy	system	code	fsn	version	preferred	acceptable	orphanet_map
disorder	http://snomed.info/sct	SNOMEDCT:4834000	Typhoid fever (disorder)	20240301	Typhoid fever	Infection by Salmonella Typhi	ORPHA:99745
disorder	http://snomed.info/sct	SNOMEDCT:4887000	Hypertyrosinemia, Richner-Hanhart type (disorder)	20240301	Tyrosinemia type 2	Hereditary hypertyrosinaemia, type II	ORPHA:28378
disorder	http://snomed.info/sct	SNOMEDCT:4945003	Microgyria (disorder)	20240301	Microgyria	Polymicrogyria	ORPHA:35981
disorder	http://snomed.info/sct	SNOMEDCT:5102002	Agenesis of corpus callosum (disorder)	20240301	Agenesis of corpus callosum	Congenital absence of corpus callosum	ORPHA:200
disorder	http://snomed.info/sct	SNOMEDCT:5127009	Jaw-winking syndrome (disorder)	20240301	Jaw-winking syndrome	Marcus-Gunn jaw winking	ORPHA:91412
disorder	http://snomed.info/sct	SNOMEDCT:5187006	Prune belly syndrome (disorder)	20240301	Prune belly syndrome	Triad syndrome	ORPHA:2970
disorder	http://snomed.info/sct	SNOMEDCT:5217008	Stiff person spectrum disorder (disorder)	20240301	Stiff-person syndrome	Stiff person spectrum disorder	ORPHA:3198
disorder	http://snomed.info/sct	SNOMEDCT:5262007	Spinal muscular atrophy (disorder)	20240301	Spinal muscular atrophy	SMA - Spinal muscular atrophy	ORPHA:70
disorder	http://snomed.info/sct	SNOMEDCT:5300004	Hemoglobin Bart's hydrops syndrome (disorder)	20240301	Hemoglobin Bart's hydrops syndrome	Hemoglobin Bart hydrops syndrome	ORPHA:163596
disorder	http://snomed.info/sct	SNOMEDCT:5315003	Hereditary nonspherocytic hemolytic anemia due to increased adenosine deaminase activity (disorder)	20240301	Hemolytic anemia due to erythrocyte adenosine deaminase overproduction	Hereditary nonspherocytic hemolytic anemia due to increased adenosine deaminase activity	ORPHA:99138
disorder	http://snomed.info/sct	SNOMEDCT:5335002	Phosphoenolpyruvate carboxykinase deficiency (disorder)	20240301	Phosphoenolpyruvate carboxykinase (GTP) deficiency	Phosphoenolpyruvate carboxykinase deficiency	ORPHA:2880
disorder	http://snomed.info/sct	SNOMEDCT:5364006	Uterus subseptus (disorder)	20240301	Uterus subseptus	Subseptate uterus	ORPHA:180129
disorder	http://snomed.info/sct	SNOMEDCT:5387003	Pigmented hairy epidermal nevus (disorder)	20240301	Pigmented hairy epidermal nevus	Becker's nevus	ORPHA:64755
disorder	http://snomed.info/sct	SNOMEDCT:5388008	Congenital lactase deficiency (disorder)	20240301	Congenital lactase deficiency	Congenital alactasia	ORPHA:53690
disorder	http://snomed.info/sct	SNOMEDCT:5601008	Klippel-Feil sequence (disorder)	20240301	Klippel-Feil sequence	Cervical fusion syndrome	ORPHA:2345
disorder	http://snomed.info/sct	SNOMEDCT:5619004	Bardet-Biedl syndrome (disorder)	20240301	Bardet-Biedl syndrome	Biedl-Bardet syndrome	ORPHA:110
disorder	http://snomed.info/sct	SNOMEDCT:5645008	Nasal glial heterotopia (disorder)	20240301	Nasal glial heterotopia	Nasal glioma	ORPHA:141112
disorder	http://snomed.info/sct	SNOMEDCT:5743005	Iridoschisis (disorder)	20240301	Iridoschisis		ORPHA:519392
disorder	http://snomed.info/sct	SNOMEDCT:5963005	Subacute neuronopathic Gaucher's disease (disorder)	20240301	Subacute neuronopathic Gaucher's disease	Juvenile Gaucher disease	ORPHA:77261
disorder	http://snomed.info/sct	SNOMEDCT:6111009	Bullous lichen planus (disorder)	20240301	Bullous lichen planus	Lichen planus bullosus	ORPHA:33408
disorder	http://snomed.info/sct	SNOMEDCT:6124009	Primary lymphangiectasis of intestine (disorder)	20240301	Primary lymphangiectasis of intestine	Intestinal lymphatic obstruction	ORPHA:90362
disorder	http://snomed.info/sct	SNOMEDCT:6160004	Neonatal hemochromatosis (disorder)	20240301	Neonatal haemochromatosis	Idiopathic neonatal hemochromatosis	ORPHA:446
disorder	http://snomed.info/sct	SNOMEDCT:6204001	Juvenile myoclonic epilepsy (disorder)	20240301	Juvenile myoclonic epilepsy	JME - Juvenile myoclonic epilepsy	ORPHA:307
disorder	http://snomed.info/sct	SNOMEDCT:6452009	Colorado tick fever (disorder)	20240301	Colorado tick fever	CTF - Colorado tick fever	ORPHA:83595
disorder	http://snomed.info/sct	SNOMEDCT:6729006	Cerebral-retinal arteriovenous aneurysm (disorder)	20240301	Cerebrofacial arteriovenous metameric syndrome type 2	Wyburn-Mason syndrome	ORPHA:53719
disorder	http://snomed.info/sct	SNOMEDCT:6996004	Congenital absence of pulmonary valve (disorder)	20240301	Congenital absence of pulmonary valve	Absent pulmonary valve	ORPHA:982
disorder	http://snomed.info/sct	SNOMEDCT:7119001	Cutaneous lupus erythematosus (disorder)	20240301	Cutaneous lupus erythematosus		ORPHA:535
disorder	http://snomed.info/sct	SNOMEDCT:7169009	Congenital supravalvular aortic stenosis (disorder)	20240301	Congenital supravalvular aortic stenosis		ORPHA:3193
disorder	http://snomed.info/sct	SNOMEDCT:7199000	Tuberous sclerosis syndrome (disorder)	20240301	Tuberous sclerosis syndrome	Epiloia	ORPHA:805
disorder	http://snomed.info/sct	SNOMEDCT:7259005	Mucopolysaccharidosis IV-A (disorder)	20240301	Mucopolysaccharidosis, MPS-IV-A	Morquio's syndrome, classic form	ORPHA:309297
disorder	http://snomed.info/sct	SNOMEDCT:7265005	Glycogen storage disease, type I (disorder)	20240301	Glycogen storage disease, type I	GSD I	ORPHA:364
disorder	http://snomed.info/sct	SNOMEDCT:7297005	Generalized seborrheic dermatitis of infants (disorder)	20240301	Generalized seborrheic dermatitis of infants	Infantile seborrhoeic dermatitis	ORPHA:314
disorder	http://snomed.info/sct	SNOMEDCT:7305005	Coarctation of aorta (disorder)	20240301	Coarctation of aorta	Aortic coarctation	ORPHA:1457
disorder	http://snomed.info/sct	SNOMEDCT:7368005	Double outlet left ventricle (disorder)	20240301	Double outlet left ventricle	Origin of both great vessels from left ventricle	ORPHA:3427
disorder	http://snomed.info/sct	SNOMEDCT:7377003	Sclerosing mediastinitis (disorder)	20240301	Sclerosing mediastinitis	Fibrosing mediastinitis	ORPHA:63999
disorder	http://snomed.info/sct	SNOMEDCT:7425008	Hereditary coproporphyria (disorder)	20240301	Hereditary coproporphyria	Berger-Goldberg syndrome	ORPHA:79273
disorder	http://snomed.info/sct	SNOMEDCT:7484005	Double outlet right ventricle (disorder)	20240301	Double outlet right ventricle	Origin of both great vessels from right ventricle	ORPHA:3426
disorder	http://snomed.info/sct	SNOMEDCT:7573000	Classical phenylketonuria (disorder)	20240301	Classical phenylketonuria	Severe phenylalanine hydroxylase deficiency	ORPHA:79254
disorder	http://snomed.info/sct	SNOMEDCT:7611002	Septo-optic dysplasia sequence (disorder)	20240301	Septo-optic dysplasia sequence	De Morsier syndrome	ORPHA:3157
finding	http://snomed.info/sct	SNOMEDCT:7689009	Reading seizure (finding)	20240301	Reading seizure	Reading epilepsy	ORPHA:166433
disorder	http://snomed.info/sct	SNOMEDCT:7720002	Metaphyseal chondrodysplasia, McKusick type (disorder)	20240301	Metaphyseal chondrodysplasia, McKusick type	Cartilage-hair hypoplasia syndrome	ORPHA:175
disorder	http://snomed.info/sct	SNOMEDCT:7731005	Autosomal dominant hypohidrotic ectodermal dysplasia syndrome (disorder)	20240301	Autosomal dominant hypohidrotic ectodermal dysplasia syndrome	Rapp-Hodgkin ectodermal dysplasia syndrome	ORPHA:1810
disorder	http://snomed.info/sct	SNOMEDCT:7826003	Mikulicz's disease (disorder)	20240301	Mikulicz's disease	Mikulicz disease	ORPHA:79078
disorder	http://snomed.info/sct	SNOMEDCT:7903009	Hallermann-Streiff syndrome (disorder)	20240301	Hallermann-Streiff syndrome	Oculomandibulodyscephaly with hypotrichosis syndrome	ORPHA:2108
disorder	http://snomed.info/sct	SNOMEDCT:8214000	Telangiectasia macularis eruptiva perstans (disorder)	20240301	Telangiectasia macularis eruptiva perstans	Paucicellular mastocytosis	ORPHA:90389
disorder	http://snomed.info/sct	SNOMEDCT:8217007	Arachnoiditis (disorder)	20240301	Arachnoiditis		ORPHA:137817
disorder	http://snomed.info/sct	SNOMEDCT:8301004	Caudal regression syndrome (disorder)	20240301	Caudal regression syndrome	Caudal dysplasia sequence	ORPHA:3027
disorder	http://snomed.info/sct	SNOMEDCT:8549006	Desquamative interstitial pneumonia (disorder)	20240301	Desquamative interstitial pneumonia	Desquamative interstitial pneumonitis	ORPHA:98852
disorder	http://snomed.info/sct	SNOMEDCT:8634009	Distichiasis-lymphedema syndrome (disorder)	20240301	Distichiasis-lymphedema syndrome		ORPHA:33001
disorder	http://snomed.info/sct	SNOMEDCT:8654005	Ectodermal dysplasia (disorder)	20240301	Ectodermal dysplasia		ORPHA:79373
disorder	http://snomed.info/sct	SNOMEDCT:8691004	Acquired ichthyosis (disorder)	20240301	Acquired ichthyosis		ORPHA:454
disorder	http://snomed.info/sct	SNOMEDCT:8712002	Congenital subaortic stenosis due to fibromuscular shelf (disorder)	20240301	Congenital subaortic stenosis due to fibromuscular shelf	Congenital subaortic stenosis of membranous type	ORPHA:3092
disorder	http://snomed.info/sct	SNOMEDCT:8757006	Hecht syndrome (disorder)	20240301	Hecht syndrome	Trismus pseudocamptodactyly syndrome	ORPHA:3377
disorder	http://snomed.info/sct	SNOMEDCT:8793008	Rokitansky sequence (disorder)	20240301	Rokitansky sequence	Mayer-Rokitansky-Kuster syndrome	ORPHA:3109
disorder	http://snomed.info/sct	SNOMEDCT:8808004	Biotinidase deficiency (disorder)	20240301	Biotinidase deficiency	Juvenile multiple carboxylase deficiency	ORPHA:79241
disorder	http://snomed.info/sct	SNOMEDCT:8849004	Uridine diphosphate glucose-4-epimerase deficiency (disorder)	20240301	Galactose epimerase deficiency	Galactosaemia III	ORPHA:79238
disorder	http://snomed.info/sct	SNOMEDCT:8933000	Crigler-Najjar syndrome, type I (disorder)	20240301	Crigler-Najjar syndrome, type I	Glucuronyltransferase deficiency	ORPHA:79234
disorder	http://snomed.info/sct	SNOMEDCT:9128006	Disorder of the gamma-glutamyl cycle (disorder)	20240301	Disorder of the gamma-glutamyl cycle	Disorder of gamma-glutamyl cycle	ORPHA:79196
disorder	http://snomed.info/sct	SNOMEDCT:9250002	Celiac artery compression syndrome (disorder)	20240301	Celiac artery compression syndrome	Median arcuate ligament syndrome	ORPHA:293208
disorder	http://snomed.info/sct	SNOMEDCT:9273005	Juvenile polyposis syndrome (disorder)	20240301	Juvenile polyposis syndrome	Retention polyps of large bowel	ORPHA:2929
disorder	http://snomed.info/sct	SNOMEDCT:9311003	Hermansky-Pudlak syndrome (disorder)	20240301	Hermansky-Pudlak syndrome	Albinism with haemorrhagic diathesis	ORPHA:79430
disorder	http://snomed.info/sct	SNOMEDCT:9417000	Platelet dense granule deficiency (disorder)	20240301	Platelet dense granule deficiency	Dense body deficiency	ORPHA:248340
disorder	http://snomed.info/sct	SNOMEDCT:9418005	Necrobiosis lipoidica (disorder)	20240301	Necrobiosis lipoidica	NLD - Necrobiosis lipoidica	ORPHA:542592
disorder	http://snomed.info/sct	SNOMEDCT:9527009	Tetrasomy 12p syndrome (disorder)	20240301	Tetrasomy 12p syndrome	Pallister-Killian syndrome	ORPHA:884
disorder	http://snomed.info/sct	SNOMEDCT:9634000	Congenital dislocation of radial head (disorder)	20240301	Congenital dislocation of radial head		ORPHA:295032
disorder	http://snomed.info/sct	SNOMEDCT:9660004	Congenital stenosis of trachea (disorder)	20240301	Congenital stenosis of trachea	Congenital narrowed trachea	ORPHA:141127
disorder	http://snomed.info/sct	SNOMEDCT:9723006	Hyperphosphatasemia with bone disease (disorder)	20240301	Hyperphosphatasemia with bone disease	Osteochalasia desmalis familiaris	ORPHA:2801
disorder	http://snomed.info/sct	SNOMEDCT:9740002	Macroencephaly (disorder)	20240301	Macroencephaly	Megalencephaly	ORPHA:2477
disorder	http://snomed.info/sct	SNOMEDCT:9893005	Immunodeficiency with thymoma (disorder)	20240301	Immunodeficiency with thymoma	Good syndrome	ORPHA:169105
disorder	http://snomed.info/sct	SNOMEDCT:9982009	Poisoning caused by cocaine (disorder)	20240301	Poisoning by cocaine	Poisoning caused by cocaine	ORPHA:90068
disorder	http://snomed.info/sct	SNOMEDCT:10007009	Coffin-Siris syndrome (disorder)	20240301	Coffin-Siris syndrome		ORPHA:1465
disorder	http://snomed.info/sct	SNOMEDCT:10087007	Infection caused by Schistosoma (disorder)	20240301	Infection by Schistosoma	Bilharzia	ORPHA:1247
disorder	http://snomed.info/sct	SNOMEDCT:10170007	Black locks, oculocutaneous albinism, AND deafness of the sensorineural type (disorder)	20240301	Black locks, oculocutaneous albinism, AND deafness of the sensorineural type	BADS syndrome	ORPHA:999
disorder	http://snomed.info/sct	SNOMEDCT:10347006	Solar urticaria (disorder)	20240301	Solar urticaria	Sunlight-induced angioedema-urticaria	ORPHA:97230
disorder	http://snomed.info/sct	SNOMEDCT:10394003	Friedreich ataxia (disorder)	20240301	Friedreich ataxia	FA - Friedreich ataxia	ORPHA:95
disorder	http://snomed.info/sct	SNOMEDCT:10406007	Lesch-Nyhan syndrome (disorder)	20240301	Lesch-Nyhan syndrome	Complete hypoxanthine-guanine phosphoribosyltransferase deficiency	ORPHA:510
disorder	http://snomed.info/sct	SNOMEDCT:10567003	Four X syndrome (disorder)	20240301	Four X syndrome	XXXX syndrome	ORPHA:9
disorder	http://snomed.info/sct	SNOMEDCT:10623005	Fibrous dysplasia of bone (disorder)	20240301	Fibrous dysplasia of bone	Jaffe-Lichtenstein syndrome	ORPHA:249
disorder	http://snomed.info/sct	SNOMEDCT:10651001	Temporal lobectomy behavior syndrome (disorder)	20240301	Temporal lobectomy behavior syndrome	Klüver-Bucy syndrome	ORPHA:157823
disorder	http://snomed.info/sct	SNOMEDCT:10736002	Isolated thyroliberin deficiency (disorder)	20240301	Isolated thyroliberin deficiency	Isolated TRH deficiency	ORPHA:238670
disorder	http://snomed.info/sct	SNOMEDCT:10741005	Lipid storage disease (disorder)	20240301	Lipid storage disease	Lipidoses	ORPHA:79204
disorder	http://snomed.info/sct	SNOMEDCT:11179002	Glycogen storage disease, type IV (disorder)	20240301	Glycogen storage disease, type IV	Andersen's disease	ORPHA:367
disorder	http://snomed.info/sct	SNOMEDCT:11225002	Transient hyperammonemia in infancy (disorder)	20240301	Transient hyperammonemia in infancy	Transient hyperammonaemia of infancy	ORPHA:289877
disorder	http://snomed.info/sct	SNOMEDCT:11226001	Fuchs' heterochromic cyclitis (disorder)	20240301	Fuchs' heterochromic cyclitis	Fuchs uveitis syndrome	ORPHA:263479
disorder	http://snomed.info/sct	SNOMEDCT:11244009	Polyglandular autoimmune syndrome, type 1 (disorder)	20240301	Polyglandular autoimmune syndrome, type 1	Polyglandular deficiency associated with mucocutaneous candidiasis	ORPHA:3453
disorder	http://snomed.info/sct	SNOMEDCT:11380006	Mucopolysaccharidosis (disorder)	20240301	Mucopolysaccharidosis	MPS - Mucopolysaccharidosis	ORPHA:79213
disorder	http://snomed.info/sct	SNOMEDCT:11389007	Inhalational anthrax (disorder)	20240301	Inhalational anthrax	Woolsorters' disease	ORPHA:247257
disorder	http://snomed.info/sct	SNOMEDCT:11614003	Congenital stenosis of pulmonary veins (disorder)	20240301	Congenital stenosis of pulmonary veins	Congenital pulmonary vein stenosis	ORPHA:3188
disorder	http://snomed.info/sct	SNOMEDCT:11817007	Actinomycotic infection (disorder)	20240301	Actinomycotic infection	Actinomycosis	ORPHA:457095
disorder	http://snomed.info/sct	SNOMEDCT:12246008	Acute neuronopathic Gaucher's disease (disorder)	20240301	Acute neuronopathic Gaucher's disease	Glucosylceramidase deficiency, acute type	ORPHA:77260
disorder	http://snomed.info/sct	SNOMEDCT:12313004	Androgen resistance syndrome (disorder)	20240301	Androgen resistance syndrome	AIS - androgen insensitivity syndrome	ORPHA:754
disorder	http://snomed.info/sct	SNOMEDCT:12579009	Familial Mediterranean fever (disorder)	20240301	Familial Mediterranean fever	FMF - Familial Mediterranean fever	ORPHA:342
disorder	http://snomed.info/sct	SNOMEDCT:12876009	Poisoning caused by Digitalis glycoside (disorder)	20240301	Poisoning by Digitalis glycoside	Poisoning caused by Digitalis glycoside	ORPHA:31828
disorder	http://snomed.info/sct	SNOMEDCT:12962009	Histoplasmosis (disorder)	20240301	Histoplasmosis		ORPHA:390
disorder	http://snomed.info/sct	SNOMEDCT:13003007	Cystathioninuria (disorder)	20240301	Cystathioninuria	CTH - Cystathioninuria	ORPHA:212
disorder	http://snomed.info/sct	SNOMEDCT:13144005	Methylcrotonyl-coenzyme A carboxylase deficiency (disorder)	20240301	Methylcrotonyl-CoA carboxylase deficiency	BMCC deficiency	ORPHA:6
disorder	http://snomed.info/sct	SNOMEDCT:13172003	Chronic idiopathic thrombocytopenic purpura (disorder)	20240301	Chronic idiopathic thrombocytopenic purpura	Chronic thrombocytopenic purpura	ORPHA:3002
disorder	http://snomed.info/sct	SNOMEDCT:13280000	Femoral hypoplasia - unusual facies syndrome (disorder)	20240301	Femoral hypoplasia - unusual facies syndrome	Femoral facial syndrome	ORPHA:1988
disorder	http://snomed.info/sct	SNOMEDCT:13370002	Plantar fascial fibromatosis (disorder)	20240301	Plantar fascial fibromatosis	Ledderhose's disease	ORPHA:199251
disorder	http://snomed.info/sct	SNOMEDCT:13404009	Twin-to-twin blood transfer (disorder)	20240301	Twin-to-twin blood transfer	FFTS - Fetofetal transfusion syndrome	ORPHA:95431
disorder	http://snomed.info/sct	SNOMEDCT:13449007	Melnick-Needles syndrome (disorder)	20240301	Melnick-Needles syndrome	Osteodysplasty	ORPHA:2484
disorder	http://snomed.info/sct	SNOMEDCT:13534001	Camptocormia (disorder)	20240301	Camptocormia	Camptospasm	ORPHA:1320
disorder	http://snomed.info/sct	SNOMEDCT:13555004	Ring chromosome 22 syndrome (disorder)	20240301	Ring chromosome 22 syndrome		ORPHA:1446
disorder	http://snomed.info/sct	SNOMEDCT:13649004	Brachycephaly (disorder)	20240301	Brachycephaly	Short broad skull	ORPHA:35099
disorder	http://snomed.info/sct	SNOMEDCT:13753008	Hemifacial spasm (disorder)	20240301	Hemifacial spasm	Facial hemispasm	ORPHA:221083
disorder	http://snomed.info/sct	SNOMEDCT:13978000	Chronic endophthalmitis (disorder)	20240301	Chronic endophthalmitis		ORPHA:279891
disorder	http://snomed.info/sct	SNOMEDCT:14087004	Hereditary stomatocytosis (disorder)	20240301	Hereditary stomatocytosis	Hereditary hydrocytosis	ORPHA:98365
disorder	http://snomed.info/sct	SNOMEDCT:14091009	12p partial trisomy syndrome (disorder)	20240301	12p partial trisomy syndrome		ORPHA:1699
disorder	http://snomed.info/sct	SNOMEDCT:14168008	Rabies (disorder)	20240301	Rabies	Hydrophobia	ORPHA:770
disorder	http://snomed.info/sct	SNOMEDCT:14333004	Alloimmune neonatal neutropenia (disorder)	20240301	Alloimmune neonatal neutropenia	Neonatal isoimmune neutropenia	ORPHA:464370
disorder	http://snomed.info/sct	SNOMEDCT:14447001	Dandy-Walker syndrome (disorder)	20240301	Dandy-Walker syndrome	Dandy-Walker malformation	ORPHA:217
disorder	http://snomed.info/sct	SNOMEDCT:14534009	Splenic vein thrombosis (disorder)	20240301	Splenic vein thrombosis	Deep vein thrombosis of splenic vein	ORPHA:583856
disorder	http://snomed.info/sct	SNOMEDCT:14637005	Late-infantile neuronal ceroid lipofuscinosis (disorder)	20240301	Late-infantile neuronal ceroid lipofuscinosis	Dollinger-Bielschowsky type neuronal ceroid lipofuscinosis	ORPHA:168491
disorder	http://snomed.info/sct	SNOMEDCT:14683004	Relapsing fever caused by Borrelia recurrentis (disorder)	20240301	Relapsing fever caused by Borrelia recurrentis	Relapsing fever, louse-borne	ORPHA:91547
disorder	http://snomed.info/sct	SNOMEDCT:14821001	Situs ambiguus (disorder)	20240301	Situs ambiguus	Heterotaxy	ORPHA:157769
disorder	http://snomed.info/sct	SNOMEDCT:14870002	Achondrogenesis, type IB (disorder)	20240301	Achondrogenesis, type IB		ORPHA:93298
disorder	http://snomed.info/sct	SNOMEDCT:14901003	Ankylosis of tooth (disorder)	20240301	Ankylosis of tooth		ORPHA:1077
disorder	http://snomed.info/sct	SNOMEDCT:14921002	Aarskog syndrome (disorder)	20240301	Aarskog syndrome		ORPHA:915
disorder	http://snomed.info/sct	SNOMEDCT:15069006	Russell-Silver syndrome (disorder)	20240301	Russell-Silver syndrome	Silver syndrome	ORPHA:813
disorder	http://snomed.info/sct	SNOMEDCT:15123008	Familial amyloid nephropathy with urticaria AND deafness (disorder)	20240301	Familial amyloid nephropathy with urticaria AND deafness	Muckle-Wells syndrome	ORPHA:575
