ORPHA	OMIM
ORPHA:91378|Clinical group	OMIM:106100
ORPHA:91378|Clinical group	OMIM:610618
ORPHA:26106	OMIM:137215
ORPHA:566192	OMIM:273900
ORPHA:527450	OMIM:617662
ORPHA:139578	OMIM:256840
ORPHA:965	OMIM:102150
ORPHA:97238	OMIM:600332
ORPHA:97238	OMIM:606072
ORPHA:50251	OMIM:156240
ORPHA:166412	OMIM:613339
ORPHA:166412	OMIM:613340
ORPHA:79322	OMIM:608799
ORPHA:99954	OMIM:609311
ORPHA:662	OMIM:153300
ORPHA:309310|Clinical subtype	OMIM:253010
ORPHA:137783	OMIM:611369
ORPHA:137783	OMIM:614915
ORPHA:79154	OMIM:204750
ORPHA:99939	OMIM:607684
ORPHA:99732|Clinical subtype	OMIM:252150
ORPHA:99732|Clinical subtype	OMIM:252160
ORPHA:99732|Clinical subtype	OMIM:615501
ORPHA:91498	OMIM:136480
ORPHA:238624	OMIM:243200
ORPHA:276241|Clinical subtype	OMIM:109150
ORPHA:276244|Clinical subtype	OMIM:109150
ORPHA:263534	OMIM:609796
ORPHA:93439|Clinical group	OMIM:614592
ORPHA:93439|Clinical group	OMIM:620076
ORPHA:899	OMIM:253280
ORPHA:899	OMIM:613153
ORPHA:899	OMIM:613154
ORPHA:899	OMIM:613150
ORPHA:899	OMIM:616538
ORPHA:899	OMIM:614643
ORPHA:899	OMIM:236670
ORPHA:899	OMIM:615181
ORPHA:899	OMIM:615287
ORPHA:899	OMIM:614830
ORPHA:899	OMIM:253800
ORPHA:899	OMIM:615041
ORPHA:899	OMIM:615249
ORPHA:653	OMIM:155240
ORPHA:653	OMIM:171400
ORPHA:653	OMIM:162300
ORPHA:171617	OMIM:612335
ORPHA:171612	OMIM:611945
ORPHA:505242	OMIM:617595
ORPHA:505248	OMIM:617303
ORPHA:137754	OMIM:609924
ORPHA:384	OMIM:181600
ORPHA:276152	OMIM:610755
ORPHA:569821	OMIM:615907
ORPHA:247806|Clinical subtype	OMIM:175100
ORPHA:477814	OMIM:616632
ORPHA:477817	OMIM:616652
ORPHA:611216	OMIM:619151
ORPHA:34217	OMIM:601214
ORPHA:411986	OMIM:615859
ORPHA:681	OMIM:170400
ORPHA:681	OMIM:613345
ORPHA:502	OMIM:150230
ORPHA:661	OMIM:209880
ORPHA:661	OMIM:619483
ORPHA:661	OMIM:619482
ORPHA:85278	OMIM:300243
ORPHA:289390	OMIM:270150
ORPHA:93256	OMIM:300623
ORPHA:254892	OMIM:157640
ORPHA:254892	OMIM:613077
ORPHA:254892	OMIM:609286
ORPHA:254892	OMIM:609283
ORPHA:254892	OMIM:610131
ORPHA:254898	OMIM:614651
ORPHA:52055	OMIM:300472
ORPHA:50811	OMIM:608154
ORPHA:30924	OMIM:602014
ORPHA:309246	OMIM:272750
ORPHA:300313	OMIM:614482
ORPHA:300319	OMIM:614436
ORPHA:976	OMIM:614723
ORPHA:313850	OMIM:614559
ORPHA:313855	OMIM:614592
ORPHA:376	OMIM:114300
ORPHA:273	OMIM:160900
ORPHA:2731	OMIM:272980
ORPHA:2739	OMIM:258360
ORPHA:2730	OMIM:176240
ORPHA:2736	OMIM:258320
ORPHA:2733	OMIM:164745
ORPHA:2733	OMIM:258315
ORPHA:480	OMIM:530000
ORPHA:93325|Etiological subtype	OMIM:127000
ORPHA:308473|Clinical subtype	OMIM:230350
ORPHA:2872	OMIM:218450
ORPHA:2879	OMIM:276820
ORPHA:2876	OMIM:261575
ORPHA:287	OMIM:130000
ORPHA:287	OMIM:130010
ORPHA:2878	OMIM:171480
ORPHA:2871	OMIM:261560
ORPHA:500135	OMIM:236500
ORPHA:370015	OMIM:618728
ORPHA:85291	OMIM:194190
ORPHA:79478|Clinical subtype	OMIM:609227
ORPHA:971	OMIM:102520
ORPHA:971	OMIM:201310
ORPHA:555877	OMIM:314400
ORPHA:357175	OMIM:615162
ORPHA:668	OMIM:259500
ORPHA:85163	OMIM:610532
ORPHA:141000	OMIM:612913
ORPHA:141007	OMIM:258865
ORPHA:97548	OMIM:208530
ORPHA:444092	OMIM:616414
ORPHA:444099	OMIM:616282
ORPHA:35807|Category	OMIM:603737
ORPHA:353298	OMIM:616651
ORPHA:90348	OMIM:123700
ORPHA:90348	OMIM:616603
ORPHA:90348	OMIM:614434
ORPHA:511	OMIM:248600
ORPHA:511	OMIM:615135
ORPHA:93384	OMIM:113100
ORPHA:247651|Clinical subtype	OMIM:241500
ORPHA:79314	OMIM:236792
ORPHA:63269|Clinical subtype	OMIM:201750
ORPHA:99731|Clinical subtype	OMIM:272300
ORPHA:360	OMIM:137800
ORPHA:360	OMIM:613029
ORPHA:93307	OMIM:226900
ORPHA:616	OMIM:155255
ORPHA:308442|Clinical subtype	OMIM:277410
ORPHA:79258|Clinical subtype	OMIM:232200
ORPHA:206484	OMIM:424500
ORPHA:206554	OMIM:611588
ORPHA:206559	OMIM:613158
ORPHA:66634	OMIM:610198
ORPHA:90342	OMIM:278750
ORPHA:250923	OMIM:106210
ORPHA:250923	OMIM:617141
ORPHA:250923	OMIM:617142
ORPHA:85191	OMIM:616298
ORPHA:85191	OMIM:182250
ORPHA:217055	OMIM:608340
ORPHA:217059	OMIM:119900
ORPHA:53689	OMIM:214700
ORPHA:46627	OMIM:169100
ORPHA:494	OMIM:124500
ORPHA:228390	OMIM:613451
ORPHA:293978	OMIM:615577
ORPHA:168598	OMIM:250850
ORPHA:168593	OMIM:608800
ORPHA:79651|Clinical subtype	OMIM:261600
ORPHA:52022	OMIM:601224
ORPHA:397618	OMIM:609218
ORPHA:397612	OMIM:615637
ORPHA:397615|Etiological subtype	OMIM:615703
ORPHA:565837	OMIM:618138
ORPHA:73272	OMIM:608747
ORPHA:275543	OMIM:303350
ORPHA:275543	OMIM:304100
ORPHA:275543	OMIM:307000
ORPHA:619233	OMIM:617101
ORPHA:306550	OMIM:613759
ORPHA:306558	OMIM:614231
ORPHA:306558	OMIM:619278
ORPHA:75234|Clinical subtype	OMIM:278000
ORPHA:580940	OMIM:617982
ORPHA:363741	OMIM:601794
ORPHA:416	OMIM:260000
ORPHA:416	OMIM:259900
ORPHA:416	OMIM:613616
ORPHA:99013	OMIM:607259
ORPHA:352665|Etiological subtype	OMIM:616580
ORPHA:352662	OMIM:615225
ORPHA:631082	OMIM:619686
ORPHA:631085	OMIM:619735
ORPHA:79325	OMIM:608104
ORPHA:139557	OMIM:300489
ORPHA:139552	OMIM:605726
ORPHA:31112	OMIM:607907
ORPHA:83620	OMIM:610370
ORPHA:293899|Clinical subtype	OMIM:107970
ORPHA:293899|Clinical subtype	OMIM:610193
ORPHA:538	OMIM:606690
ORPHA:99642	OMIM:613343
ORPHA:95712	OMIM:225250
ORPHA:95712	OMIM:218700
ORPHA:610	OMIM:158810
ORPHA:610	OMIM:616471
ORPHA:650	OMIM:136120
ORPHA:650	OMIM:245900
ORPHA:447977	OMIM:616852
ORPHA:447974	OMIM:616549
ORPHA:75858	OMIM:610156
ORPHA:193	OMIM:216550
ORPHA:1937	OMIM:135950
ORPHA:1933	OMIM:612073
ORPHA:1930	OMIM:617900
ORPHA:1930	OMIM:614849
ORPHA:1930	OMIM:610551
ORPHA:1930	OMIM:616532
ORPHA:1930	OMIM:614850
ORPHA:1930	OMIM:613002
ORPHA:1935	OMIM:609304
ORPHA:1935	OMIM:617105
ORPHA:1935	OMIM:616341
ORPHA:1934	OMIM:300672
ORPHA:1934	OMIM:619340
ORPHA:1934	OMIM:617350
ORPHA:1934	OMIM:613402
ORPHA:1934	OMIM:609304
ORPHA:1934	OMIM:617389
ORPHA:1934	OMIM:616341
ORPHA:1934	OMIM:612164
ORPHA:1934	OMIM:618548
ORPHA:1934	OMIM:617599
ORPHA:1934	OMIM:617493
ORPHA:1934	OMIM:617391
ORPHA:1934	OMIM:308350
ORPHA:1934	OMIM:617276
ORPHA:1934	OMIM:613721
ORPHA:2504	OMIM:156510
ORPHA:2506	OMIM:257920
ORPHA:2500	OMIM:201200
ORPHA:2501	OMIM:250400
ORPHA:2505	OMIM:156610
ORPHA:2505	OMIM:616734
ORPHA:2508	OMIM:300004
ORPHA:2502	OMIM:250420
ORPHA:90647	OMIM:220400
ORPHA:90647	OMIM:612347
ORPHA:583	OMIM:253200
ORPHA:404463	OMIM:613834
ORPHA:404466	OMIM:617712
ORPHA:404466	OMIM:618353
ORPHA:404466	OMIM:615774
ORPHA:79500	OMIM:220500
ORPHA:589833|Clinical subtype	OMIM:160900
ORPHA:589830|Clinical subtype	OMIM:160900
ORPHA:324723|Clinical subtype	OMIM:605714
ORPHA:98434	OMIM:607473
ORPHA:98434	OMIM:277450
ORPHA:30	OMIM:258900
ORPHA:36	OMIM:200990
ORPHA:37	OMIM:201100
ORPHA:32	OMIM:266130
ORPHA:32	OMIM:231900
ORPHA:38	OMIM:101850
ORPHA:31	OMIM:203740
ORPHA:33	OMIM:243500
ORPHA:35	OMIM:606054
ORPHA:93592|Clinical subtype	OMIM:615382
ORPHA:93592|Clinical subtype	OMIM:256100
ORPHA:2849	OMIM:267000
ORPHA:2843	OMIM:260800
ORPHA:2840	OMIM:602484
ORPHA:2848	OMIM:208250
ORPHA:2841	OMIM:169600
ORPHA:90	OMIM:207800
ORPHA:96	OMIM:277460
ORPHA:98	OMIM:270550
Clinical group|ORPHA:94	OMIM:137800
ORPHA:95	OMIM:601992
ORPHA:95	OMIM:229300
ORPHA:91	OMIM:613546
ORPHA:93	OMIM:208400
ORPHA:97	OMIM:108500
ORPHA:445110	OMIM:616094
ORPHA:79507	OMIM:614037
ORPHA:60026	OMIM:178610
ORPHA:596	OMIM:310400
ORPHA:320411	OMIM:615030
ORPHA:93409	OMIM:610713
ORPHA:251274	OMIM:613677
ORPHA:251279	OMIM:611040
ORPHA:642763	OMIM:617537
ORPHA:319574	OMIM:614889
ORPHA:393	OMIM:300833
ORPHA:393	OMIM:400045
ORPHA:393	OMIM:278850
ORPHA:210548	OMIM:613926
ORPHA:210548	OMIM:605309
ORPHA:247775|Clinical subtype	OMIM:277000
ORPHA:166119	OMIM:166700
ORPHA:140922	OMIM:608807
ORPHA:140927	OMIM:607745
ORPHA:64748	OMIM:618184
ORPHA:64748	OMIM:145900
ORPHA:289846|Clinical subtype	OMIM:266130
ORPHA:289849|Clinical subtype	OMIM:231900
ORPHA:494439	OMIM:617763
ORPHA:494433	OMIM:617053
ORPHA:227976	OMIM:612989
ORPHA:508	OMIM:246200
ORPHA:480476|Clinical subtype	OMIM:617049
ORPHA:98905|Clinical subtype	OMIM:255320
ORPHA:217	OMIM:220200
ORPHA:2177	OMIM:605013
Clinical subtype|ORPHA:2170	OMIM:250940
Clinical subtype|ORPHA:2176	OMIM:236490
Clinical subtype|ORPHA:2176	OMIM:228600
ORPHA:2172	OMIM:248760
ORPHA:496	OMIM:600962
ORPHA:351	OMIM:256540
ORPHA:100976	OMIM:242300
ORPHA:100973	OMIM:309548
ORPHA:261330	OMIM:611867
ORPHA:98957	OMIM:204870
ORPHA:93388	OMIM:112500
ORPHA:93388	OMIM:616849
ORPHA:93388	OMIM:607004
ORPHA:93388	OMIM:615072
ORPHA:500481|Histopathological subtype	OMIM:275355
ORPHA:857	OMIM:107480
ORPHA:857	OMIM:617466
ORPHA:220386|Clinical subtype	OMIM:609637
ORPHA:220386|Clinical subtype	OMIM:610829
ORPHA:220386|Clinical subtype	OMIM:301043
ORPHA:220386|Clinical subtype	OMIM:157170
ORPHA:568051	OMIM:613480
ORPHA:99867	OMIM:274230
ORPHA:99791|Clinical subtype	OMIM:125420
ORPHA:811	OMIM:260400
ORPHA:811	OMIM:617941
ORPHA:978	OMIM:103285
ORPHA:280142	OMIM:615758
ORPHA:3337	OMIM:134600
ORPHA:3337	OMIM:618913
ORPHA:3337	OMIM:613388
ORPHA:3337	OMIM:615605
ORPHA:333	OMIM:228000
ORPHA:3339	OMIM:600268
ORPHA:3338	OMIM:217980
ORPHA:3332	OMIM:188740
ORPHA:166084|Clinical subtype	OMIM:613554
ORPHA:166081|Clinical subtype	OMIM:613554
ORPHA:166087|Clinical subtype	OMIM:613554
ORPHA:239	OMIM:223800
ORPHA:239	OMIM:304950
Clinical subtype|ORPHA:2394	OMIM:246900
ORPHA:2399	OMIM:167730
ORPHA:2391	OMIM:122580
ORPHA:2398	OMIM:151800
ORPHA:2396	OMIM:613001
ORPHA:2390	OMIM:246550
ORPHA:486	OMIM:257100
ORPHA:486	OMIM:202700
ORPHA:486	OMIM:613107
ORPHA:486	OMIM:619813
ORPHA:486	OMIM:618752
Category|ORPHA:823	OMIM:182940
Category|ORPHA:823	OMIM:601634
Category|ORPHA:823	OMIM:301410
ORPHA:157719|Clinical subtype	OMIM:603896
ORPHA:157716|Clinical subtype	OMIM:603896
ORPHA:157713|Clinical subtype	OMIM:603896
ORPHA:557064	OMIM:618328
ORPHA:293964	OMIM:240900
ORPHA:324708|Clinical subtype	OMIM:605714
ORPHA:324703|Clinical subtype	OMIM:605714
ORPHA:261537|Etiological subtype	OMIM:235730
ORPHA:98769	OMIM:606658
ORPHA:98767	OMIM:604432
ORPHA:269510|Clinical subtype	OMIM:236600
ORPHA:844	OMIM:108950
ORPHA:183678|Clinical subtype	OMIM:617050
ORPHA:183678|Clinical subtype	OMIM:608233
ORPHA:183675	OMIM:614102
ORPHA:991	OMIM:202660
ORPHA:100070	OMIM:172700
ORPHA:100070	OMIM:607485
ORPHA:100070	OMIM:600274
ORPHA:309015|Etiological subtype	OMIM:238600
ORPHA:309015|Etiological subtype	OMIM:144250
ORPHA:101330	OMIM:176090
ORPHA:101330	OMIM:176100
ORPHA:93279	OMIM:604864
ORPHA:276630	OMIM:300844
Clinical subtype|ORPHA:895	OMIM:619947
Clinical subtype|ORPHA:895	OMIM:606662
Clinical subtype|ORPHA:895	OMIM:193510
Clinical subtype|ORPHA:895	OMIM:608890
Clinical subtype|ORPHA:895	OMIM:611584
Clinical subtype|ORPHA:895	OMIM:600193
ORPHA:124	OMIM:614900
ORPHA:124	OMIM:618310
ORPHA:124	OMIM:618313
ORPHA:124	OMIM:618312
ORPHA:124	OMIM:300946
ORPHA:124	OMIM:612527
ORPHA:124	OMIM:612528
ORPHA:124	OMIM:606164
ORPHA:124	OMIM:105650
ORPHA:124	OMIM:612563
ORPHA:124	OMIM:612561
ORPHA:124	OMIM:612562
ORPHA:124	OMIM:615550
ORPHA:124	OMIM:617409
ORPHA:124	OMIM:617408
ORPHA:124	OMIM:615909
ORPHA:124	OMIM:610629
ORPHA:124	OMIM:606129
ORPHA:124	OMIM:613309
ORPHA:124	OMIM:613308
ORPHA:124	OMIM:620072
ORPHA:1241	OMIM:141350
ORPHA:1247	OMIM:181460
ORPHA:1245	OMIM:234050
ORPHA:1248	OMIM:155050
ORPHA:1240	OMIM:250215
ORPHA:1246	OMIM:113400
ORPHA:1243	OMIM:153700
ORPHA:357329	OMIM:615207
ORPHA:293725	OMIM:604314
ORPHA:35708	OMIM:608643
ORPHA:67046	OMIM:250950
ORPHA:79084	OMIM:608600
ORPHA:2538	OMIM:156810
ORPHA:2533	OMIM:156620
ORPHA:2536	OMIM:156700
ORPHA:37612	OMIM:160120
ORPHA:391311	OMIM:613796
ORPHA:325448|Clinical subtype	OMIM:228300
ORPHA:53296	OMIM:115250
ORPHA:317476	OMIM:300853
ORPHA:317473	OMIM:616873
ORPHA:363727	OMIM:300835
ORPHA:363722|Clinical subtype	OMIM:203450
ORPHA:558	OMIM:610168
ORPHA:558	OMIM:154700
ORPHA:620220|Clinical subtype	OMIM:241200
ORPHA:572013	OMIM:618325
ORPHA:210115	OMIM:612852
ORPHA:210110	OMIM:611497
ORPHA:411602	OMIM:614251
ORPHA:411602	OMIM:614203
ORPHA:411602	OMIM:605543
ORPHA:411602	OMIM:168601
ORPHA:411602	OMIM:607688
ORPHA:411602	OMIM:616361
ORPHA:411602	OMIM:607060
ORPHA:453	OMIM:601675
ORPHA:101068	OMIM:610048
ORPHA:217467	OMIM:613116
ORPHA:99001	OMIM:169150
ORPHA:99001	OMIM:610125
ORPHA:99001	OMIM:608970
ORPHA:380	OMIM:175700
ORPHA:1826	OMIM:617137
ORPHA:1826	OMIM:305620
ORPHA:1827	OMIM:603671
ORPHA:1824	OMIM:226960
ORPHA:1822	OMIM:127800
ORPHA:508533	OMIM:617425
Clinical group|ORPHA:418	OMIM:201910
Clinical group|ORPHA:418	OMIM:613571
Clinical group|ORPHA:418	OMIM:201710
Clinical group|ORPHA:418	OMIM:202010
Clinical group|ORPHA:418	OMIM:201810
Clinical group|ORPHA:418	OMIM:202110
ORPHA:329481	OMIM:611771
ORPHA:209967	OMIM:612656
ORPHA:633099	OMIM:619859
ORPHA:98895	OMIM:159050
ORPHA:98895	OMIM:300376
ORPHA:33574	OMIM:230450
ORPHA:2092	OMIM:305600
ORPHA:2091	OMIM:138790
ORPHA:2098	OMIM:200700
ORPHA:2098	OMIM:609441
ORPHA:2090	OMIM:138770
ORPHA:2097	OMIM:138930
ORPHA:2095	OMIM:612289
ORPHA:79152	OMIM:614714
ORPHA:79152	OMIM:612293
ORPHA:79152	OMIM:612353
ORPHA:79152	OMIM:607728
ORPHA:79152	OMIM:616063
ORPHA:79152	OMIM:175900
ORPHA:79152	OMIM:616631
ORPHA:93925|Clinical subtype	OMIM:609637
ORPHA:93925|Clinical subtype	OMIM:610829
ORPHA:93925|Clinical subtype	OMIM:301043
ORPHA:93925|Clinical subtype	OMIM:157170
ORPHA:90117	OMIM:604484
ORPHA:353314|Clinical subtype	OMIM:266150
ORPHA:79128	OMIM:247610
ORPHA:251038	OMIM:611936
ORPHA:91385|Clinical group	OMIM:300909
ORPHA:308684|Clinical subtype	OMIM:232500
ORPHA:93946|Clinical subtype	OMIM:309500
ORPHA:98907	OMIM:275630
ORPHA:228169	OMIM:609161
ORPHA:300382	OMIM:616914
ORPHA:480556	OMIM:617394
ORPHA:294023	OMIM:616069
ORPHA:294023	OMIM:614328
ORPHA:294026	OMIM:613681
ORPHA:79234|Clinical subtype	OMIM:218800
ORPHA:314632	OMIM:606693
ORPHA:314637	OMIM:614702
ORPHA:319487	OMIM:603386
ORPHA:319487	OMIM:188470
ORPHA:319487	OMIM:606240
ORPHA:319487	OMIM:616535
ORPHA:319487	OMIM:616534
ORPHA:319487	OMIM:603744
ORPHA:319487	OMIM:188550
ORPHA:319480	OMIM:601626
ORPHA:319646	OMIM:614921
ORPHA:319640	OMIM:608051
ORPHA:79299	OMIM:602485
ORPHA:69085	OMIM:603543
ORPHA:168451	OMIM:601668
ORPHA:168454	OMIM:610442
ORPHA:449291	OMIM:300624
ORPHA:324601	OMIM:303400
ORPHA:324604|Clinical subtype	OMIM:602771
ORPHA:88918|Clinical subtype	OMIM:104200
ORPHA:646136|Clinical subtype	OMIM:601356
ORPHA:254688|Clinical subtype	OMIM:614293
ORPHA:254688|Clinical subtype	OMIM:231090
ORPHA:254688|Clinical subtype	OMIM:618432
ORPHA:254688|Clinical subtype	OMIM:618431
ORPHA:819	OMIM:182290
ORPHA:96170	OMIM:609029
ORPHA:79432	OMIM:203200
ORPHA:85328	OMIM:309590
ORPHA:42775	OMIM:606519
ORPHA:42775	OMIM:140850
ORPHA:90791	OMIM:201810
ORPHA:99735	OMIM:608390
ORPHA:324535	OMIM:614922
ORPHA:324530	OMIM:614878
ORPHA:98805	OMIM:128101
ORPHA:172	OMIM:619868
ORPHA:172	OMIM:617049
ORPHA:172	OMIM:620010
ORPHA:172	OMIM:602347
ORPHA:172	OMIM:601847
ORPHA:172	OMIM:619484
ORPHA:172	OMIM:211600
ORPHA:172	OMIM:619849
ORPHA:172	OMIM:619662
ORPHA:172	OMIM:615878
ORPHA:1727	OMIM:608363
ORPHA:488647	OMIM:616871
ORPHA:488642	OMIM:616954
ORPHA:79159	OMIM:611283
ORPHA:638	OMIM:601321
ORPHA:476126	OMIM:617061
ORPHA:47612	OMIM:134750
ORPHA:705	OMIM:274600
ORPHA:59306	OMIM:300842
ORPHA:69735	OMIM:607823
ORPHA:69735	OMIM:137940
ORPHA:588	OMIM:253280
ORPHA:588	OMIM:613153
ORPHA:588	OMIM:613154
ORPHA:588	OMIM:613150
ORPHA:588	OMIM:236670
ORPHA:588	OMIM:615181
ORPHA:588	OMIM:615350
ORPHA:588	OMIM:253800
ORPHA:231214|Clinical subtype	OMIM:613985
ORPHA:178029	OMIM:125700
ORPHA:178029	OMIM:304900
ORPHA:34528	OMIM:154020
ORPHA:497757	OMIM:617017
ORPHA:295197|Clinical subtype	OMIM:608180
ORPHA:295195|Clinical subtype	OMIM:186000
ORPHA:295199|Clinical subtype	OMIM:610234
Clinical group|ORPHA:557	OMIM:301800
Clinical group|ORPHA:557	OMIM:207500
Clinical group|ORPHA:557	OMIM:107100
ORPHA:270	OMIM:164300
ORPHA:2701	OMIM:617506
ORPHA:2701	OMIM:607721
ORPHA:2704	OMIM:236730
ORPHA:2704	OMIM:615112
ORPHA:2707	OMIM:244450
ORPHA:2709	OMIM:180900
ORPHA:79101	OMIM:239510
ORPHA:221061	OMIM:603284
ORPHA:221061	OMIM:603285
ORPHA:221061	OMIM:619538
ORPHA:221061	OMIM:116860
ORPHA:171607	OMIM:300750
ORPHA:98976	OMIM:231300
ORPHA:98976	OMIM:613086
ORPHA:98976	OMIM:613085
ORPHA:98976	OMIM:600975
ORPHA:98976	OMIM:617272
ORPHA:243	OMIM:300510
ORPHA:243	OMIM:233300
ORPHA:243	OMIM:618117
ORPHA:243	OMIM:614324
ORPHA:243	OMIM:618723
ORPHA:243	OMIM:618078
ORPHA:2439	OMIM:183700
ORPHA:2438	OMIM:140000
ORPHA:2437	OMIM:183802
ORPHA:2432	OMIM:248110
ORPHA:2430	OMIM:153630
ORPHA:369939	OMIM:300475
ORPHA:477857	OMIM:616622
ORPHA:307936	OMIM:607658
ORPHA:600663	OMIM:614325
ORPHA:600668	OMIM:618147
ORPHA:86884	OMIM:618398
ORPHA:306658|Clinical subtype	OMIM:610455
ORPHA:261120	OMIM:613457
ORPHA:51083	OMIM:620231
ORPHA:51083	OMIM:609622
ORPHA:51083	OMIM:609620
ORPHA:51083	OMIM:609621
ORPHA:542310	OMIM:614561
ORPHA:398189|Clinical subtype	OMIM:614974
ORPHA:70472	OMIM:220111
ORPHA:70472	OMIM:619065
ORPHA:440731	OMIM:615604
ORPHA:363534	OMIM:271245
ORPHA:69087	OMIM:161000
ORPHA:485421|Etiological subtype	OMIM:617086
ORPHA:75382	OMIM:258100
ORPHA:75382	OMIM:613411
ORPHA:423296	OMIM:615957
ORPHA:397685	OMIM:615555
ORPHA:55880	OMIM:215300
ORPHA:220436	OMIM:601709
ORPHA:541423	OMIM:617093
ORPHA:98809	OMIM:611031
ORPHA:98809	OMIM:128200
ORPHA:88635	OMIM:616231
ORPHA:847	OMIM:301040
ORPHA:847	OMIM:309580
ORPHA:71517	OMIM:128235
ORPHA:95159	OMIM:176100
ORPHA:354	OMIM:230500
ORPHA:354	OMIM:230600
ORPHA:354	OMIM:230650
ORPHA:1764	OMIM:223900
ORPHA:1767	OMIM:193005
ORPHA:1766	OMIM:615268
ORPHA:1766	OMIM:613227
ORPHA:1766	OMIM:610185
ORPHA:1766	OMIM:224050
ORPHA:1765	OMIM:127350
ORPHA:1762	OMIM:300260
ORPHA:1762	OMIM:300815
ORPHA:284149	OMIM:614188
ORPHA:238583	OMIM:261640
ORPHA:238583	OMIM:264070
ORPHA:238583	OMIM:261630
ORPHA:238583	OMIM:233910
ORPHA:363424	OMIM:615330
ORPHA:363429	OMIM:616204
ORPHA:363429	OMIM:614831
